full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/18676/skullz,skullz,Brazil,22 years,FURIA,0.61,1.09,0.69,74.5,94.7,46.6%,1.12,16.6%,0.47,0.1,0.13,27.9%,27.9%,0.13,20.8%,0.36,0.09,0.08,16.7%,52.4%,74.0%,2.65,0.0,0.0,0.5%,0.3%,0.0006,0.0006,0.58,0.11,0.15,21.8%,20.0%,108,0.51,0.02,9.9%,62.7%,1m 7s,8.2%,0.47,4.16,0.77,0.52,0.03,2.15
https://www.hltv.org/stats/players/12018/teses,TeSeS,Denmark,24 years,HEROIC,0.72,1.1,0.71,77.6,99.8,47.5%,1.14,17.5%,0.63,0.11,0.15,28.8%,28.8%,0.15,17.6%,0.58,0.11,0.1,21.0%,50.1%,72.9%,2.81,0.0,0.01,0.8%,0.5%,0.001,0.0003,0.55,0.12,0.15,20.6%,19.3%,110,0.4,0.02,8.1%,61.4%,1m 5s,5.7%,0.61,4.72,0.74,0.61,0.03,2.15
https://www.hltv.org/stats/players/20301/tauson,Tauson,Denmark,19 years,GamerLegion,0.51,1.03,0.66,73.9,94.9,45.3%,1.07,15.8%,0.42,0.1,0.13,23.0%,23.0%,0.15,19.1%,0.5,0.1,0.11,20.6%,48.5%,70.9%,2.85,0.01,0.01,1.7%,0.9%,0.003,0.002,0.38,0.1,0.13,19.9%,20.0%,112,0.39,0.01,9.8%,57.1%,1m 5s,7.0%,0.47,4.65,0.94,0.46,0.04,2.09
https://www.hltv.org/stats/players/22564/noway,noway,Brazil,19 years,Imperial,0.62,1.1,0.69,75.5,96.9,47.0%,1.15,16.4%,0.68,0.11,0.15,25.0%,25.0%,0.19,20.6%,0.61,0.11,0.11,21.8%,49.9%,72.3%,2.77,0.01,0.01,1.5%,1.0%,0.002,0.001,0.44,0.1,0.14,19.7%,26.6%,109,0.32,0.01,6.9%,53.2%,1m 6s,7.9%,0.48,4.77,0.72,0.5,0.02,1.74
https://www.hltv.org/stats/players/12092/max,max,Uruguay,25 years,9z,0.61,1.08,0.67,77.2,99.5,46.2%,1.1,16.3%,0.5,0.1,0.14,24.2%,24.2%,0.16,18.7%,0.69,0.11,0.12,23.3%,49.0%,74.4%,3.01,0.01,0.01,1.4%,0.8%,0.002,0.001,0.27,0.09,0.12,18.4%,18.2%,115,0.37,0.01,8.9%,60.9%,1m 8s,7.0%,0.61,5.2,0.74,0.53,0.04,2.52
https://www.hltv.org/stats/players/23415/zerrofix,zeRRoFIX,Ukraine,17 years,Passion UA,0.32,1.01,0.63,68.5,89.2,43.6%,1.06,14.5%,0.83,0.13,0.16,30.9%,30.9%,0.19,21.9%,0.44,0.09,0.11,20.2%,45.8%,74.3%,2.45,0.01,0.01,2.0%,0.8%,0.003,0.0008,0.66,0.12,0.14,22.5%,29.4%,109,0.35,0.01,8.2%,59.5%,1m 5s,9.7%,0.32,3.85,0.8,0.41,0.02,1.88
https://www.hltv.org/stats/players/19187/xfl0ud,xfl0ud,Turkey,21 years,Sangal,0.53,1.06,0.66,74.1,94.7,45.1%,1.08,15.9%,0.39,0.09,0.13,25.6%,25.6%,0.15,20.4%,0.33,0.09,0.09,17.8%,47.9%,72.5%,2.79,0.01,0.01,1.7%,0.9%,0.003,0.001,0.28,0.09,0.12,18.9%,19.8%,112,0.52,0.02,9.6%,63.3%,1m 7s,6.7%,0.71,5.13,0.93,0.63,0.05,2.47
https://www.hltv.org/stats/players/22613/huasopeek,HUASOPEEK,Chile,21 years,9z,0.54,1.05,0.67,73.0,94.7,44.9%,1.17,16.4%,0.63,0.11,0.14,30.6%,30.6%,0.17,20.7%,0.37,0.09,0.1,18.5%,47.8%,72.4%,2.58,0.01,0.01,1.3%,0.7%,0.002,0.0005,0.49,0.11,0.14,20.5%,25.0%,109,0.46,0.02,8.7%,67.6%,1m 8s,7.5%,0.32,3.36,0.78,0.45,0.03,1.91
https://www.hltv.org/stats/players/2241/roman,roman,Portugal,32 years,SAW,0.51,0.97,0.67,72.8,81.3,45.9%,,15.8%,0.28,0.1,0.12,23.1%,23.1%,0.13,17.6%,0.44,0.09,0.09,18.2%,52.1%,74.5%,2.68,0.01,0.01,1.7%,0.9%,0.002,0.001,0.31,0.1,0.12,17.9%,21.9%,94,0.34,0.02,8.8%,55.2%,0m 56s,5.6%,0.54,4.24,0.65,0.6,0.03,2.18
https://www.hltv.org/stats/players/14148/sjuush,sjuush,Denmark,25 years,HEROIC,0.59,1.08,0.68,74.9,95.2,46.0%,1.09,16.3%,0.57,0.11,0.14,28.3%,28.3%,0.14,20.2%,0.41,0.09,0.09,18.2%,50.8%,73.3%,2.76,0.01,0.01,1.8%,0.9%,0.003,0.001,0.42,0.1,0.14,20.0%,18.2%,111,0.46,0.02,9.3%,59.3%,1m 7s,6.8%,0.54,4.11,0.84,0.59,0.04,2.2
https://www.hltv.org/stats/players/21014/ag1l,Ag1l,Portugal,21 years,SAW,0.44,1.01,0.65,71.6,91.7,45.3%,1.01,15.2%,0.49,0.1,0.13,27.5%,27.5%,0.14,19.9%,0.2,0.07,0.08,14.7%,48.5%,70.2%,2.8,0.01,0.01,1.2%,0.7%,0.002,0.001,0.71,0.12,0.16,24.3%,22.5%,110,0.54,0.02,10.9%,59.4%,1m 8s,7.4%,0.7,4.92,0.85,0.67,0.05,2.36
https://www.hltv.org/stats/players/17378/reck,reck,United States,21 years,M80,0.65,1.07,0.69,75.8,97.9,47.1%,1.15,16.8%,0.54,0.1,0.14,26.7%,26.7%,0.14,17.5%,0.38,0.09,0.09,18.4%,48.9%,71.9%,2.77,0.01,0.01,1.2%,0.6%,0.002,0.001,0.38,0.1,0.13,19.3%,20.6%,109,0.51,0.02,10.0%,64.4%,1m 4s,4.8%,0.52,3.9,0.66,0.6,0.04,2.05
https://www.hltv.org/stats/players/20112/alex666,alex666,Ukraine,23 years,B8,0.67,1.08,0.69,77.2,98.9,46.6%,1.15,16.9%,0.55,0.1,0.14,25.6%,25.6%,0.18,19.7%,0.42,0.09,0.1,19.4%,47.7%,72.9%,2.9,0.01,0.01,2.0%,1.1%,0.003,0.002,0.52,0.1,0.15,21.2%,22.5%,112,0.51,0.02,10.1%,66.2%,1m 3s,7.1%,0.33,3.9,0.83,0.4,0.02,2.06
