full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,team
https://www.hltv.org/stats/players/18835/saffee?maps=all,0.74,0.59,0.49,0.58,0.58,0.75,0.18,0.61,0.45,0.24,0.09,0.11,0.18,0.21,0.11,0.19,0.4,0.1,0.14,0.19,0.21,1.02,0.63,0.11,0.08,0.19,0.59,0.76,0.02,0.6,0.02,0.11,0.61,1.18,0.1,0.92,0.35,0.48,0.26,0.09,0.07,0.6,0,0.53,0.79,0.07,2.49,saffee,all,30.0,other
https://www.hltv.org/stats/players/19750/drop?maps=all,0.29,0.11,0.42,0.21,0.26,0.68,0.14,0.43,0.38,0.73,0.11,0.15,0.23,0.33,0.16,0.24,0.36,0.1,0.12,0.2,0.24,1.12,0.33,0.09,0.09,0.18,0.48,0.73,0.03,0.47,0.02,0.09,0.64,1.17,0.11,0.0,0.0,0.0,0.0,0.0004,0.0002,0.49,0,1.03,0.48,0.03,2.16,drop,all,21.0,other
https://www.hltv.org/stats/players/21037/insani?maps=all,0.84,0.59,0.49,0.67,0.6,0.82,0.18,0.82,0.72,0.66,0.11,0.15,0.22,0.25,0.17,0.18,0.44,0.11,0.14,0.19,0.21,1.11,0.79,0.13,0.12,0.25,0.52,0.73,0.03,0.34,0.01,0.07,0.62,1.12,0.08,0.0,0.01,0.01,0.0,0.002,0.001,0.64,0,0.79,0.59,0.04,2.34,insani,all,21.0,other
https://www.hltv.org/stats/players/18141/biguzera?maps=all,0.75,0.48,0.48,0.51,0.56,0.8,0.18,0.71,0.38,0.56,0.1,0.14,0.22,0.26,0.17,0.19,0.3,0.1,0.13,0.18,0.2,1.13,0.67,0.11,0.11,0.22,0.51,0.74,0.03,0.5,0.02,0.08,0.64,1.13,0.08,0.01,0.01,0.02,0.01,0.003,0.001,0.76,0,1.13,0.62,0.05,2.54,biguzera,all,28.0,other
https://www.hltv.org/stats/players/19694/nqz?maps=all,0.59,0.48,0.48,0.44,0.53,0.71,0.17,0.49,0.48,0.18,0.08,0.1,0.18,0.23,0.1,0.21,0.54,0.1,0.15,0.22,0.23,1.01,0.49,0.1,0.07,0.17,0.6,0.74,0.02,0.71,0.03,0.12,0.58,1.23,0.12,0.92,0.36,0.5,0.27,0.09,0.07,0.59,0,0.73,0.71,0.07,2.4,nqz,all,20.0,other
https://www.hltv.org/stats/players/20085/kauez?maps=all,0.64,0.41,0.47,0.51,0.4,0.75,0.17,0.63,0.45,0.34,0.09,0.13,0.19,0.22,0.14,0.18,0.29,0.1,0.12,0.18,0.2,1.08,0.62,0.11,0.1,0.21,0.51,0.75,0.02,0.45,0.02,0.09,0.55,1.08,0.08,0.01,0.01,0.02,0.01,0.002,0.001,0.27,0,0.55,0.4,0.03,2.24,kauez,all,21.0,other
https://www.hltv.org/stats/players/20171/snow?maps=all,0.5,0.33,0.46,0.4,0.37,0.72,0.16,0.54,0.48,0.57,0.11,0.14,0.21,0.28,0.16,0.22,0.49,0.11,0.14,0.2,0.24,1.09,0.51,0.1,0.1,0.2,0.5,0.74,0.03,0.54,0.02,0.1,0.59,1.12,0.09,0.03,0.02,0.03,0.02,0.005,0.004,0.36,0,0.94,0.43,0.03,2.22,snow,all,18.0,other
https://www.hltv.org/stats/players/20563/lux?maps=all,0.73,0.48,0.48,0.51,0.53,0.79,0.17,0.7,0.64,0.54,0.1,0.14,0.21,0.25,0.18,0.2,0.37,0.1,0.13,0.19,0.22,1.12,0.68,0.11,0.1,0.22,0.52,0.75,0.03,0.44,0.02,0.08,0.63,1.12,0.08,0.02,0.02,0.03,0.02,0.003,0.003,0.7,0,1.07,0.62,0.03,2.04,lux,all,23.0,other
https://www.hltv.org/stats/players/8918/electronic?maps=all,0.83,0.56,0.48,0.63,0.4,0.82,0.18,0.73,0.43,0.42,0.09,0.13,0.2,0.23,0.15,0.17,0.35,0.1,0.13,0.18,0.19,1.09,0.69,0.12,0.11,0.23,0.51,0.73,0.03,0.47,0.02,0.08,0.63,1.1,0.08,0.0,0.0,0.01,0.0,0.001,0.0005,0.62,0,0.81,0.65,0.03,2.06,electroNic,all,26.0,other
https://www.hltv.org/stats/players/12732/fl1t?maps=all,0.78,0.52,0.49,0.56,0.53,0.8,0.18,0.73,0.43,0.29,0.09,0.12,0.19,0.2,0.15,0.19,0.47,0.1,0.14,0.2,0.19,1.11,0.44,0.09,0.09,0.18,0.52,0.73,0.03,0.53,0.02,0.1,0.61,1.12,0.11,0.03,0.02,0.03,0.02,0.005,0.004,0.57,0,1.21,0.49,0.04,2.46,FL1T,all,24.0,other
https://www.hltv.org/stats/players/16612/n0rb3r7?maps=all,0.71,0.44,0.46,0.58,0.42,0.78,0.18,0.74,0.45,0.33,0.09,0.13,0.19,0.22,0.14,0.17,0.1,0.07,0.11,0.15,0.17,1.11,0.65,0.11,0.11,0.23,0.5,0.71,0.03,0.46,0.02,0.08,0.66,1.07,0.06,0.04,0.03,0.04,0.02,0.007,0.005,0.47,0,0.75,0.5,0.03,2.27,n0rb3r7,all,24.0,other
