full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/16412/rafftu,rafftu,0.46,1.01,0.65,71.8,92.5,45.4%,1.06,15.4%,0.73,0.12,0.15,29.3%,29.3%,0.13,17.8%,0.39,0.09,0.09,18.5%,49.1%,70.8%,2.73,0.0,0.0,0.6%,0.4%,0.0005,0.0006,0.61,0.44,0.44
https://www.hltv.org/stats/players/20807/rage,rage,0.53,0.99,0.67,72.6,102.0,45.0%,1.01,16.1%,0.47,0.1,0.15,18.0%,18.0%,0.14,15.0%,0.72,0.12,0.13,24.5%,48.6%,70.3%,2.28,0.19,0.11,16.0%,7.6%,0.03,0.03,0.36,0.48,0.42
https://www.hltv.org/stats/players/17116/ragga,ragga,0.61,1.04,0.68,75.0,99.9,45.9%,1.13,16.8%,0.55,0.1,0.15,23.4%,23.4%,0.14,16.2%,0.61,0.11,0.12,22.7%,47.8%,69.8%,2.56,0.15,0.08,12.1%,6.4%,0.02,0.02,0.36,0.38,0.44
https://www.hltv.org/stats/players/24324/rahley,rahley,0.49,0.89,0.62,72.0,120.0,41.4%,,17.2%,0.02,0.07,0.07,0.0%,0.0%,0.21,27.6%,0.6,0.1,0.1,20.7%,50.0%,100.0%,3.48,0.0,0.0,0.0%,-,0.0,0.0,0.88,0.8,0.44
https://www.hltv.org/stats/players/20207/raijin,Raijin,0.59,1.05,0.68,74.5,100.1,46.3%,1.12,16.4%,0.15,0.08,0.11,19.0%,19.0%,0.12,17.3%,0.74,0.12,0.12,24.1%,50.2%,72.5%,2.47,0.11,0.06,8.5%,4.4%,0.02,0.01,0.17,0.43,0.37
https://www.hltv.org/stats/players/8642/rain,rain,0.77,1.06,0.72,80.2,90.6,48.5%,,17.5%,0.74,0.13,0.15,29.7%,29.7%,0.2,18.8%,0.47,0.1,0.1,19.9%,48.0%,75.2%,3.26,0.0,0.0,0.4%,0.2%,0.0005,0.0,0.5,0.47,0.59
https://www.hltv.org/stats/players/8183/rain,rain,0.73,1.02,0.7,79.3,90.6,46.9%,,17.4%,0.35,0.1,0.13,21.3%,21.3%,0.15,16.6%,0.77,0.12,0.13,25.2%,49.2%,74.9%,2.76,0.0,0.0,0.5%,0.3%,0.0007,0.0006,0.13,0.28,0.39
https://www.hltv.org/stats/players/22421/rainny,rainny,0.43,0.99,0.64,71.4,95.8,44.8%,0.91,15.2%,0.62,0.12,0.15,25.3%,25.3%,0.15,17.9%,0.62,0.11,0.14,25.0%,43.7%,68.1%,2.56,0.0,0.01,1.3%,0.6%,0.001,0.001,0.48,0.24,0.43
https://www.hltv.org/stats/players/17145/rainwaker,Rainwaker,0.72,1.11,0.7,77.9,97.9,47.2%,1.18,17.4%,0.28,0.08,0.12,24.0%,24.0%,0.14,20.6%,0.35,0.09,0.08,16.7%,52.4%,71.4%,3.02,0.01,0.01,1.8%,1.0%,0.003,0.002,0.46,0.66,0.52
https://www.hltv.org/stats/players/15981/rais,RaiS,0.37,0.98,0.65,69.5,87.5,45.3%,1.73,14.5%,0.61,0.11,0.14,36.4%,36.4%,0.11,16.6%,0.5,0.1,0.1,19.8%,50.7%,70.6%,2.33,0.16,0.09,14.5%,7.7%,0.01,0.02,0.62,0.84,0.38
