full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/11215/olga,Olga,97/100,1.27,0.80,92.5,118.4,52.2%,1.20,20.6%,40/100,0.10,0.13,21.5%,21.5%,0.21,15.4%,91/100,0.16,0.12,28.0%,56.2%,72.5%,3.62,5/100,0.03,3.7%,2.5%,0.008,0.007,35/100,48/100,84/100
https://www.hltv.org/stats/players/24285/olik,olik,20/100,0.92,0.56,59.3,75.7,39.7%,,15.2%,96/100,0.15,0.19,32.1%,32.1%,0.19,25.0%,33/100,0.08,0.14,21.6%,36.4%,68.8%,2.48,0/100,0.00,0.0%,-,0.0,0.0,95/100,66/100,58/100
https://www.hltv.org/stats/players/21263/olimp,olimp,61/100,1.04,0.68,76.5,100.7,46.4%,1.00,16.3%,19/100,0.08,0.12,19.4%,19.4%,0.15,17.4%,70/100,0.12,0.13,24.5%,47.6%,71.3%,2.77,3/100,0.02,2.7%,1.5%,0.005,0.004,9/100,58/100,51/100
https://www.hltv.org/stats/players/24212/oliver,Oliver,0/100,0.55,0.42,52.0,119.3,36.4%,,6.1%,9/100,0.06,0.12,0.0%,0.0%,0.18,3.0%,46/100,0.09,0.21,30.3%,30.0%,33.3%,2.09,0/100,0.00,0.0%,-,0.0,0.0,91/100,14/100,32/100
https://www.hltv.org/stats/players/10664/olivia,Olivia,84/100,1.13,0.76,78.5,101.3,50.1%,1.12,19.3%,19/100,0.08,0.12,18.5%,18.5%,0.11,15.3%,75/100,0.12,0.09,21.4%,57.7%,75.0%,2.46,64/100,0.22,28.5%,15.4%,0.06,0.05,37/100,59/100,28/100
https://www.hltv.org/stats/players/23278/olleja,Olleja,99/100,1.26,0.83,92.1,130.1,51.6%,1.22,23.2%,21/100,0.10,0.11,15.8%,15.8%,0.22,20.0%,60/100,0.11,0.10,21.1%,52.5%,66.7%,3.61,3/100,0.02,1.9%,1.1%,0.01,0.01,41/100,50/100,57/100
https://www.hltv.org/stats/players/885/olofmeister,olofmeister,66/100,1.06,0.71,72.9,56.5,47.9%,,17.7%,7/100,0.09,0.07,12.3%,12.3%,0.13,17.0%,60/100,0.11,0.10,20.8%,51.4%,76.6%,2.46,17/100,0.10,13.6%,7.4%,0.02,0.02,7/100,35/100,30/100
https://www.hltv.org/stats/players/22912/omar,Omar,77/100,1.11,0.75,75.8,89.6,50.0%,1.00,18.0%,30/100,0.12,0.09,30.8%,30.8%,0.18,19.1%,47/100,0.10,0.07,17.0%,60.6%,60.0%,2.10,92/100,0.36,47.3%,28.4%,0.09,0.08,43/100,93/100,28/100
https://www.hltv.org/stats/players/22629/omichella,Omichella,55/100,1.02,0.67,75.1,100.4,46.2%,0.98,15.6%,56/100,0.10,0.15,23.3%,23.3%,0.18,17.4%,54/100,0.10,0.11,21.4%,48.9%,65.3%,2.57,1/100,0.01,1.4%,0.7%,0.002,0.001,24/100,45/100,28/100
https://www.hltv.org/stats/players/24652/onder,onder,12/100,0.58,0.40,55.8,97.9,25.7%,,14.3%,82/100,0.11,0.20,50.0%,50.0%,0.14,11.4%,10/100,0.03,0.06,8.6%,33.3%,100.0%,1.83,0/100,0.00,0.0%,-,0.0,0.0,3/100,13/100,8/100
https://www.hltv.org/stats/players/24463/ondyey,ondyey,18/100,0.84,0.60,63.6,83.4,43.8%,,12.9%,37/100,0.10,0.13,26.3%,26.3%,0.14,15.8%,68/100,0.11,0.16,26.7%,40.6%,92.3%,2.12,15/100,0.09,14.5%,6.2%,0.02,0.02,32/100,20/100,32/100
https://www.hltv.org/stats/players/23239/onelion,OneLion,61/100,1.03,0.68,74.9,109.9,45.1%,0.96,16.8%,79/100,0.12,0.16,35.3%,35.3%,0.19,16.6%,49/100,0.09,0.15,23.8%,38.2%,78.6%,2.71,1/100,0.00,0.6%,0.2%,0.002,0.0,55/100,15/100,40/100
https://www.hltv.org/stats/players/22649/oneun1que,OneUn1que,74/100,1.14,0.71,78.5,99.6,47.4%,1.27,17.6%,52/100,0.11,0.14,25.9%,25.9%,0.22,20.7%,76/100,0.12,0.11,23.4%,52.8%,73.1%,2.96,3/100,0.02,3.4%,1.7%,0.006,0.003,69/100,48/100,53/100
https://www.hltv.org/stats/players/24168/onic,onic,59/100,1.06,0.69,75.1,98.0,46.7%,,16.1%,18/100,0.09,0.10,25.0%,25.0%,0.16,21.0%,44/100,0.10,0.09,19.1%,51.3%,60.0%,2.47,1/100,0.01,1.4%,0.7%,0.005,0.002,35/100,81/100,32/100
https://www.hltv.org/stats/players/23738/onix,OniX,74/100,1.13,0.72,74.3,81.0,47.6%,,19.0%,39/100,0.10,0.13,11.1%,11.1%,0.19,21.4%,83/100,0.16,0.07,23.0%,69.0%,60.0%,2.71,9/100,0.05,6.6%,3.2%,0.02,0.008,90/100,35/100,19/100
https://www.hltv.org/stats/players/23754/onstyle,onStyle,17/100,0.51,0.43,73.2,111.0,35.7%,,7.1%,0/100,0.00,0.07,0.0%,0.0%,0.21,7.1%,25/100,0.07,0.14,21.4%,33.3%,0.0%,2.79,12/100,0.07,16.7%,7.1%,0.0,0.0,28/100,2/100,42/100
https://www.hltv.org/stats/players/21129/onter,onter,9/100,0.87,0.54,61.1,78.4,38.8%,0.70,12.4%,21/100,0.08,0.12,25.7%,25.7%,0.12,20.1%,42/100,0.09,0.09,18.8%,49.7%,71.2%,2.26,6/100,0.03,5.6%,2.0%,0.009,0.008,7/100,49/100,44/100
https://www.hltv.org/stats/players/24315/oona,oona,0/100,0.70,0.38,47.8,62.7,31.1%,,4.4%,88/100,0.11,0.22,60.0%,60.0%,0.16,22.2%,5/100,0.04,0.11,15.6%,28.6%,50.0%,1.44,60/100,0.18,44.4%,11.1%,0.04,0.02,63/100,11/100,28/100
