full_url,firepower,entrying,trading,opening,clutching,sniping,utility,player_name,map
https://www.hltv.org/stats/players/7964/cadian?maps=de_mirage,0.58,0.1,0.12,0.77,0.54,0.92,0.64,cadiaN,de_mirage
https://www.hltv.org/stats/players/10994/stavn?maps=de_mirage,0.83,0.31,0.3,0.68,0.4,0.18,0.6,stavn,de_mirage
https://www.hltv.org/stats/players/17956/jabbi?maps=de_mirage,0.55,0.47,0.41,0.41,0.62,0.0,0.47,jabbi,de_mirage
https://www.hltv.org/stats/players/20304/staehr?maps=de_mirage,0.58,0.22,0.4,0.43,0.44,0.0,0.68,Staehr,de_mirage
https://www.hltv.org/stats/players/150/maj3r?maps=de_mirage,0.28,0.18,0.11,0.35,0.49,0.13,0.66,MAJ3R,de_mirage
https://www.hltv.org/stats/players/7938/xantares?maps=de_mirage,0.98,0.24,0.26,0.86,0.35,0.0,0.42,XANTARES,de_mirage
https://www.hltv.org/stats/players/8574/woxic?maps=de_mirage,0.83,0.2,0.36,0.72,0.58,0.94,0.47,woxic,de_mirage
https://www.hltv.org/stats/players/8575/calyx?maps=de_mirage,0.79,0.33,0.38,0.35,0.52,0.03,0.39,Calyx,de_mirage
https://www.hltv.org/stats/players/21243/wicadia?maps=de_mirage,0.72,0.33,0.29,0.44,0.49,0.01,0.36,Wicadia,de_mirage
https://www.hltv.org/stats/players/11154/exit?maps=de_mirage,0.7,0.33,0.55,0.32,0.66,0.0,0.57,exit,de_mirage
https://www.hltv.org/stats/players/18717/lucaozy?maps=de_mirage,0.85,0.3,0.26,0.71,0.37,0.04,0.41,Lucaozy,de_mirage
https://www.hltv.org/stats/players/18835/saffee?maps=de_mirage,0.59,0.15,0.3,0.7,0.5,0.93,0.57,saffee,de_mirage
https://www.hltv.org/stats/players/19750/drop?maps=de_mirage,0.24,0.47,0.24,0.23,0.48,0.0,0.46,drop,de_mirage
https://www.hltv.org/stats/players/21037/insani?maps=de_mirage,0.88,0.51,0.36,0.73,0.28,0.01,0.48,insani,de_mirage
