feature,eta2,p,-s1ngley,MOOOOORF,Wagman,D1NOZAVR,s1mple
presses_SPACE_per_s,0.15593645433702769,3.262767589719745e-11,0.11735002145947936,0.09738989612132488,0.041352931555804245,0.09548187347733367,0.13578625817900175
counterstrafe_per_s,0.15349941766088449,4.79200811127223e-11,0.4078628218864571,0.33966087478415463,0.20088554287311458,0.5377259176381387,0.33064725655859145
dwell_SHIFT_ms,0.15318967659966462,5.031852357119816e-11,1683.825725716011,4096.323291635792,3980.792486561386,2306.2545641064157,1813.2993563829964
stop_release_frac,0.14442763146222165,2.0004406639843674e-10,0.409188211430325,0.4755372369298431,0.6888830404994519,0.36029231841253806,0.47171467671397305
frac_air,0.13976834426915585,4.162514825564066e-10,0.08695469290768254,0.07303756008009335,0.033941308533807835,0.06967283296176287,0.09687271035832494
stop_counterstrafe_frac,0.12676599723706533,3.201459887025468e-09,0.4569607911693518,0.4195357126606145,0.18007692139589201,0.4669676885480372,0.36956093071171875
presses_CTRL_per_s,0.12522117920852452,4.077492014674625e-09,0.10465070400599227,0.06272339026064984,0.04394839886553367,0.05073324861213987,0.08876442482696835
duck_per_s,0.1246868633156362,4.433166692466876e-09,0.10326472235117869,0.06155416106308798,0.042712325320200556,0.050376289015504214,0.08804584034327446
presses_W_per_s,0.11130917810086428,3.5808010165940586e-08,0.27295386860076715,0.2962610109930444,0.23712278421693833,0.3397560861604815,0.3574667025190906
dwell_W_ms,0.10672791407280544,7.305667068489756e-08,1707.6115094960535,1908.3550083199723,2501.437961544967,1713.2353713794364,1428.9184884815206
yaw_rate_p95,0.1020487909462128,1.5113058878736153e-07,159.82065217391295,209.415019267314,159.8943660736083,148.64664470615662,187.64058393998567
yaw_rate_mean,0.09271686604099565,6.41132393026561e-07,31.47558951918722,39.41404837448973,30.754261159021116,29.839958263722295,36.06591286467005
frac_walkkey,0.09180367177073662,7.382534011865044e-07,0.14857837763147233,0.1839107449440009,0.23531065251630373,0.3294025200028412,0.22128923489564356
fwd_switch_per_s,0.0738405294649188,1.1652073913294823e-05,0.39271123786955814,0.3866424617457101,0.32351289430642705,0.4413685625676009,0.45959416248009793
lat_reversal_per_s,0.06933128461847098,2.3163922728373715e-05,0.5022858991069868,0.6057570870398487,0.5436059858366464,0.5345672938096051,0.4062230470440863
wpn_nade_frac,0.06172420651220377,7.337601452815996e-05,0.10936537047484314,0.16306275660741934,0.11248319618524734,0.2326329392070688,0.09938108490864721
dwell_S_ms,0.06169937089873959,7.36517214895479e-05,592.8900502991876,717.8430533899285,642.572815758779,543.2418330890983,525.7052823281516
nade_walk_frac,0.0496155264160524,0.00045097416972640777,0.1023764795963689,0.15082587345847784,0.10571463059315586,0.20929103129714613,0.08705765044945442
qswitch_per_s,0.03794609274068329,0.0025174022437581545,0.060610045002691106,0.10027417112647209,0.05808151087254676,0.07687797099455787,0.10335569500203276
shots_per_s,0.02910119062753629,0.009010953906568404,0.08101660567365744,0.10018352000257442,0.1186487646716,0.10711212023907424,0.08053974967995499
reload_ammo_ratio,0.023230767672472202,0.02061846687339655,0.16180124223602488,0.22434219934219934,0.1663876488095238,0.207320540156361,0.22845904095904085
switch_per_s,0.013179480258777052,0.08087035445511594,0.27828201809907566,0.3510542604734635,0.2674673477377707,0.32626835680657945,0.3724173640661444
presses_S_per_s,0.0024156625470177075,0.30953979892276395,0.13444419234293264,0.10593200591450153,0.10522910702986935,0.11457242481299316,0.11367655208515223
