demo,player,side,round,stops_per_s,stop_counterstrafe_frac,stop_counter_fwd_frac,stop_crouch_stop_frac,stop_release_frac,stop_ms_mean,stop_speed_before,stop_overshoot_frac,stop_shot_frac,stop_shot_delay_ms,stop_speed_at_shot,traversals_per_s,peeks_per_s,peek_jiggle_frac,peek_narrow_frac,peek_wide_frac,peek_commit_frac,peek_depth_mean,peek_depth_p90,peek_out_ms_mean,peek_return_frac,peek_peak_speed,peek_walk_frac,peek_yaw_swing,peek_shots_mean,peek_shift_frac,peek_lat_ratio,wide_peek_per_s,wide_depth_mean,wide_peak_speed,wide_return_frac
pilot_mirage,Papatronic05,T,11,0.11310275183034588,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,151.78571428571428,171.86520385742188,0.5714285714285714,0.8571428571428571,80.72916666666667,7.125077446301778,0.03231507195152739,0.03231507195152739,1.0,0.0,0.0,0.0,39.116280634671355,39.224407182991754,617.1875,1.0,168.27970123291016,0.14285714285714285,57.52989959716797,0.5,0.0,3.3553789192263763,0.0,,,
pilot_mirage,Polbandana,CT,0,0.19563318777292577,0.7142857142857143,0.0,0.0,0.2857142857142857,145.08928571428572,170.01573399135046,0.8571428571428571,0.2857142857142857,0.0,21.61281967163086,0.02794759825327511,0.02794759825327511,1.0,0.0,0.0,0.0,5.9034943901250045,5.9034943901250045,937.5,1.0,100.70015716552734,0.0,10.6142578125,2.0,0.0,24.352989152046863,0.0,,,
pilot_mirage,Polbandana,CT,1,0.6891891891891891,0.9411764705882353,0.0,0.0,0.058823529411764705,162.68382352941177,160.10339445226333,0.9803921568627451,0.13725490196078433,89.28571428571429,38.23264639718192,0.02702702702702703,0.06756756756756757,0.6,0.0,0.0,0.4,59.505478774180176,101.47688638883636,1025.0,0.6,151.2878448486328,0.39713707050968894,86.73507080078124,0.0,0.4,14.784834594923456,0.0,,,
pilot_mirage,Polbandana,CT,2,0.1350210970464135,0.625,0.0,0.0,0.375,109.375,173.85908699035645,0.625,0.25,62.5,16.070314407348633,0.05063291139240506,0.016877637130801686,0.0,0.0,0.0,1.0,129.32516510538514,129.32516510538514,1484.375,0.0,163.8075408935547,0.0,56.15489959716797,0.0,0.0,9.900730233311362,0.0,,,
pilot_mirage,Polbandana,CT,3,0.3088057901085645,0.85,0.0,0.05,0.1,142.96875,158.7865119934082,0.9,0.3,65.10416666666667,18.089754581451416,0.030880579010856453,0.030880579010856453,1.0,0.0,0.0,0.0,24.693529064229804,28.587642282032053,593.75,1.0,143.9238739013672,0.0,10.75235366821289,0.0,0.0,10.581501743829765,0.0,,,
pilot_mirage,Polbandana,CT,4,0.2822774659182037,0.7272727272727273,0.18181818181818182,0.0,0.09090909090909091,136.36363636363637,159.74050625887784,0.8181818181818182,0.2727272727272727,20.833333333333332,33.38273048400879,0.02566158781074579,0.05132317562149158,0.5,0.0,0.0,0.5,59.37666061518587,90.08009846300604,1015.625,0.5,149.8010025024414,0.5056818181818181,28.73748779296875,1.0,0.5,1.9460441707862497,0.0,,,
pilot_mirage,Polbandana,CT,5,0.2714164546225615,0.4,0.3,0.0,0.3,92.1875,167.9459487915039,0.5,0.4,152.34375,50.899232387542725,0.0542832909245123,0.08142493638676845,1.0,0.0,0.0,0.0,14.307365585109935,26.233403305839545,447.9166666666667,1.0,101.45066833496094,0.47580332946186604,8.946876525878906,0.0,0.3333333333333333,18.109946286464815,0.0,,,
pilot_mirage,Polbandana,CT,6,0.3283346487766377,0.6923076923076923,0.07692307692307693,0.15384615384615385,0.07692307692307693,99.75961538461539,164.07342294546274,0.6923076923076923,0.38461538461538464,0.0,24.94528579711914,0.07576953433307025,0.050513022888713496,0.5,0.0,0.0,0.5,69.82924961304323,94.52099530651971,726.5625,0.5,183.77286529541016,0.2375,53.10259246826172,0.5,0.0,1.7059843181124978,0.0,,,
pilot_mirage,Polbandana,CT,7,0.22780304528376508,0.7222222222222222,0.16666666666666666,0.05555555555555555,0.05555555555555555,163.19444444444446,172.04064008924695,0.6666666666666666,0.3888888888888889,62.5,21.8482860156468,0.0759343484279217,0.0759343484279217,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,107.6868263942622,211.1010084122358,1151.0416666666667,0.6666666666666666,155.7979303995768,0.1011029411764706,32.23726908365885,0.0,0.0,2.5853298060096486,0.0,,,
pilot_mirage,Polbandana,CT,8,0.27705627705627706,0.8571428571428571,0.0,0.0,0.14285714285714285,145.08928571428572,175.79478890555245,1.0,0.7142857142857143,134.375,31.91359672546387,0.0,0.07915893630179345,0.0,0.0,0.0,1.0,190.78054735080028,252.0871796419521,1085.9375,0.0,225.0012969970703,0.046875,44.192501068115234,1.0,0.0,13.484682464722619,0.0,,,
pilot_mirage,Polbandana,CT,9,0.33692270878200525,0.9545454545454546,0.0,0.0,0.045454545454545456,186.78977272727272,160.04556967995384,1.0,0.22727272727272727,90.625,35.409904098510744,0.06125867432400096,0.04594400574300072,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,94.76448113409602,141.28178975674626,1312.5,0.6666666666666666,146.50955454508463,0.3333333333333333,20.22137196858724,0.3333333333333333,0.3333333333333333,24.008328320150582,0.0,,,
pilot_mirage,Polbandana,CT,10,0.03144963144963145,0.0,1.0,0.0,0.0,328.125,150.09970092773438,0.0,0.0,,,0.03144963144963145,0.0628992628992629,1.0,0.0,0.0,0.0,35.06831437319169,45.19319388805152,382.8125,1.0,137.48023986816406,0.0,5.6375274658203125,0.0,0.0,11.571321274927842,0.0,,,
pilot_mirage,Polbandana,CT,11,0.10372771474878444,1.0,0.0,0.0,0.0,83.33333333333333,163.22296142578125,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,Polbandana,T,12,0.7119021134593994,0.8,0.05,0.0,0.15,145.3125,166.52830352783204,0.9,0.2,58.59375,27.926219940185547,0.0,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,Polbandana,T,13,0.21925853419796892,0.8928571428571429,0.0,0.03571428571428571,0.07142857142857142,154.01785714285714,167.66094970703125,0.9285714285714286,0.17857142857142858,31.25,29.36032772064209,0.023491985806925242,0.046983971613850484,0.5,0.0,0.0,0.5,96.14246088042732,172.13936987626687,877.6041666666666,0.5,165.06058756510416,0.23165849673202618,13.510907491048178,0.0,0.16666666666666666,9.94114147696071,0.0,,,
pilot_mirage,Polbandana,T,14,0.25930615345657126,0.75,0.125,0.0625,0.0625,164.0625,164.2033052444458,0.8125,0.3125,62.5,56.4530366897583,0.06482653836414282,0.03241326918207141,1.0,0.0,0.0,0.0,43.56100687691247,52.213500499156616,367.1875,1.0,175.82577514648438,0.0,28.820068359375,0.0,0.0,3.107054146272466,0.0,,,
pilot_mirage,Polbandana,T,15,0.26753907669938204,0.9130434782608695,0.0,0.043478260869565216,0.043478260869565216,146.7391304347826,162.38140869140625,1.0,0.08695652173913043,54.6875,15.692310333251953,0.0697928026172301,0.046528535078153396,1.0,0.0,0.0,0.0,30.407803313674858,38.276084653765,343.75,1.0,149.621244430542,0.2222222222222222,19.730932235717773,0.0,0.25,16.13048869337052,0.0,,,
pilot_mirage,Polbandana,T,16,0.12268370607028754,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,166.66666666666666,170.67845662434897,0.6666666666666666,0.3333333333333333,0.0,20.183204650878906,0.0817891373801917,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,Polbandana,T,17,0.15980024968789014,0.8333333333333334,0.16666666666666666,0.0,0.0,127.60416666666667,167.29228719075522,0.6666666666666666,0.3333333333333333,101.5625,15.169976234436035,0.10653349979192676,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,Polbandana,T,18,0.4490777866880513,0.7428571428571429,0.14285714285714285,0.02857142857142857,0.08571428571428572,142.85714285714286,164.4029497419085,0.6857142857142857,0.34285714285714286,59.895833333333336,33.75992218653361,0.11547714514835605,0.05132317562149158,0.25,0.0,0.0,0.75,139.98112476987598,252.34844359400424,1027.34375,0.25,186.39618682861328,0.0,74.89576530456543,1.25,0.0,3.617562719671725,0.0,,,
pilot_mirage,kL1o,CT,0,0.3769373837569746,0.7368421052631579,0.15789473684210525,0.0,0.10526315789473684,132.40131578947367,166.19298352693258,0.7368421052631579,0.0,,,0.019838809671419714,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,kL1o,CT,1,0.12345679012345678,1.0,0.0,0.0,0.0,87.5,156.24013061523436,1.0,0.0,,,0.07407407407407407,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,kL1o,CT,2,0.07264472190692395,1.0,0.0,0.0,0.0,78.125,180.27780151367188,1.0,1.0,0.0,30.569793701171875,0.0,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,kL1o,CT,3,0.32891533675953477,0.9473684210526315,0.0,0.0,0.05263157894736842,125.0,161.9661576120477,0.8947368421052632,0.47368421052631576,53.81944444444444,40.16905826992459,0.03462266702731945,0.0692453340546389,0.25,0.0,0.5,0.25,155.7816759211909,272.4412263320476,1179.6875,0.75,189.9538516998291,0.11979166666666667,9.788993835449219,0.75,0.0,16.86488867694277,0.03462266702731945,265.81023922711563,235.00318908691406,1.0
pilot_mirage,kL1o,CT,4,0.05887764489420423,0.3333333333333333,0.0,0.0,0.6666666666666666,109.375,188.4345245361328,0.6666666666666666,0.6666666666666666,0.0,26.887728691101074,0.03925176326280282,0.07850352652560565,1.0,0.0,0.0,0.0,36.76689939192778,54.14465458851318,894.53125,1.0,111.42864418029785,0.5006450384207738,4.912696838378906,0.0,0.5,28.34313441328672,0.0,,,
pilot_mirage,kL1o,CT,5,0.21398176291793314,0.6363636363636364,0.0,0.0,0.36363636363636365,89.48863636363636,166.77327520197088,0.5454545454545454,0.09090909090909091,31.25,15.419193267822266,0.05835866261398176,0.05835866261398176,0.6666666666666666,0.0,0.0,0.3333333333333333,71.29761545311136,133.06984593092042,812.5,0.6666666666666666,128.36439005533853,0.6319444444444445,8.381525675455729,0.0,0.6666666666666666,14.695985810198271,0.0,,,
pilot_mirage,kL1o,CT,6,0.040983606557377046,0.6,0.0,0.0,0.4,146.875,178.469091796875,0.8,0.0,,,0.02459016393442623,0.03278688524590164,0.75,0.0,0.0,0.25,25.218770864831566,49.27940965281556,636.71875,0.75,77.83103370666504,0.6006944444444444,9.867433547973633,0.0,0.5,29.425214334318255,0.0,,,
pilot_mirage,kL1o,CT,7,0.0439459830624857,0.6666666666666666,0.0,0.0,0.3333333333333333,140.625,190.1029307047526,1.0,0.0,,,0.014648661020828565,0.10254062714579995,0.7142857142857143,0.0,0.0,0.2857142857142857,63.45658100271817,129.83135376227955,1004.4642857142857,0.7142857142857143,112.18662861415318,0.4610979298479298,15.253089904785156,0.0,0.5714285714285714,9.876992356207296,0.0,,,
pilot_mirage,kL1o,CT,8,0.11158465710964742,0.6666666666666666,0.0,0.0,0.3333333333333333,114.58333333333333,166.5245564778646,0.7777777777777778,0.1111111111111111,0.0,24.215797424316406,0.02479659046881054,0.08678806664083688,0.7142857142857143,0.0,0.0,0.2857142857142857,51.84106067710154,118.34148466276045,834.8214285714286,0.7142857142857143,121.36284855433873,0.5714285714285714,21.13009316580636,0.2857142857142857,0.5714285714285714,25.523363802310595,0.0,,,
pilot_mirage,kL1o,CT,9,0.17181208053691274,0.8,0.1,0.0,0.1,182.8125,167.57540740966797,0.9,0.2,0.0,25.11174488067627,0.03436241610738255,0.08590604026845637,0.2,0.4,0.0,0.4,116.3864373855603,188.74690493102642,1081.25,0.6,155.8988037109375,0.38555555555555554,27.089602661132812,0.2,0.6,3.409472746012071,0.0,,,
pilot_mirage,kL1o,CT,10,0.14012041598248495,0.8333333333333334,0.0,0.0,0.16666666666666666,166.66666666666666,158.14466603597006,0.9166666666666666,0.0,,,0.02335340266374749,0.04670680532749498,0.25,0.25,0.0,0.5,125.53319573633972,227.78993135522407,1484.375,0.5,151.13692665100098,0.3723958333333333,77.68209075927734,1.25,0.25,1.5655261099567335,0.0,,,
pilot_mirage,kL1o,CT,11,0.2194787379972565,0.4,0.6,0.0,0.0,200.0,161.92337646484376,0.6,0.2,0.0,21.347043991088867,0.13168724279835392,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,kL1o,T,12,0.378698224852071,0.9166666666666666,0.0,0.0,0.08333333333333333,132.8125,178.3461151123047,1.0,0.5,44.270833333333336,27.61557944615682,0.0631163708086785,0.03155818540433925,0.0,0.0,0.0,1.0,135.85894824394776,135.85894824394776,765.625,0.0,239.06085205078125,0.0,227.5044708251953,4.0,0.0,2.7792449028864787,0.0,,,
pilot_mirage,kL1o,T,13,0.2975651535543864,0.9473684210526315,0.02631578947368421,0.0,0.02631578947368421,126.23355263157895,161.74629934210526,0.8947368421052632,0.13157894736842105,103.125,20.840979957580565,0.007830661935641747,0.03132264774256699,0.5,0.5,0.0,0.0,67.92959870035999,102.17820152706085,695.3125,1.0,176.84012603759766,0.0,24.224254608154297,0.5,0.0,52.843292754222645,0.0,,,
pilot_mirage,kL1o,T,14,0.08520349942944085,0.7142857142857143,0.0,0.0,0.2857142857142857,133.92857142857142,180.83922467912947,1.0,0.14285714285714285,0.0,23.995868682861328,0.012171928489920122,0.036515785469760365,0.3333333333333333,0.0,0.0,0.6666666666666666,141.89932109390926,248.54026709248134,1020.8333333333334,0.3333333333333333,121.76384989420573,0.6666666666666666,79.60225931803386,0.3333333333333333,0.6666666666666666,1.9463332096698955,0.0,,,
pilot_mirage,kL1o,T,15,0.18925579103006407,0.8333333333333334,0.08333333333333333,0.0,0.08333333333333333,125.0,166.77554829915366,0.8333333333333334,0.0,,,0.015771315919172007,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,kL1o,T,16,0.0927536231884058,1.0,0.0,0.0,0.0,117.1875,169.15753936767578,1.0,0.5,0.0,32.85687255859375,0.0,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,kL1o,T,17,0.07990012484394507,1.0,0.0,0.0,0.0,161.45833333333334,161.69795735677084,0.3333333333333333,0.6666666666666666,0.0,23.262004852294922,0.07990012484394507,0.02663337494798169,0.0,0.0,0.0,1.0,282.89918386064426,282.89918386064426,1484.375,0.0,236.91920471191406,0.0,14.42333984375,1.0,0.0,1.6529873006485793,0.0,,,
pilot_mirage,kL1o,T,18,0.06865900383141763,0.8571428571428571,0.0,0.0,0.14285714285714285,98.21428571428571,181.09749930245536,0.8571428571428571,0.14285714285714285,0.0,0.0,0.029425287356321838,0.039233716475095784,0.75,0.0,0.0,0.25,60.32722387997693,124.620944340869,1000.0,0.75,112.12794208526611,0.75,14.320411682128906,0.0,0.75,16.245883357503665,0.0,,,
pilot_mirage,rud,CT,12,0.47761194029850745,0.8181818181818182,0.0,0.0,0.18181818181818182,129.26136363636363,178.50707869096235,0.9090909090909091,0.2727272727272727,197.91666666666666,46.668212890625,0.13025780189959293,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,rud,CT,13,0.1740143717226646,0.9285714285714286,0.0,0.0,0.07142857142857142,138.39285714285714,171.5307562691825,0.7142857142857143,0.2857142857142857,74.21875,28.49545955657959,0.049718391920761315,0.012429597980190329,0.0,0.0,0.0,1.0,123.82527405185552,123.82527405185552,1484.375,0.0,196.40576171875,0.20833333333333334,24.48577880859375,1.0,0.0,7.063330704215623,0.0,,,
pilot_mirage,rud,CT,14,0.2548531607765057,0.9375,0.0,0.0,0.0625,153.3203125,174.9184684753418,0.75,0.0625,218.75,0.0,0.0,0.047784967645594825,0.6666666666666666,0.0,0.0,0.3333333333333333,86.1606261200926,145.50926168824873,901.0416666666666,0.6666666666666666,178.01967112223306,0.2280701754385965,76.08409118652344,0.3333333333333333,0.3333333333333333,7.286495603785241,0.0,,,
pilot_mirage,rud,CT,15,0.23940149625935161,1.0,0.0,0.0,0.0,192.70833333333334,157.0018310546875,1.0,0.0,,,0.0798004987531172,0.0,,,,,,,,,,,,,,,,,,
pilot_mirage,rud,CT,16,0.3699421965317919,1.0,0.0,0.0,0.0,160.15625,171.92263221740723,0.875,0.0,,,0.046242774566473986,0.046242774566473986,0.0,0.0,0.0,1.0,63.36457448949151,63.36457448949151,593.75,0.0,147.1865692138672,0.0,9.723922729492188,1.0,0.0,1.7149221660947958,0.0,,,
pilot_mirage,rud,CT,17,0.3422459893048128,1.0,0.0,0.0,0.0,140.625,161.0784166124132,1.0,0.3333333333333333,15.625,29.828209559122723,0.07605466428995841,0.038027332144979206,1.0,0.0,0.0,0.0,29.13744386102357,29.13744386102357,265.625,1.0,160.96664428710938,0.0,3.079925537109375,0.0,0.0,31.36169861017118,0.0,,,
