feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
disp_20s,macro,0.12936425371388363,0.12393152102121895,0.021015137163411232,1573.9483115228647,566.4962251273375,0.07316381086520948
radius_gyration,macro,0.12882764211835493,0.16708646616541367,0.005757512813808876,731.3271147662351,255.14683736996818,0.02577172402371592
frac_scoped,micro,0.12789721959470993,0.2180325549065237,0.0011412425697651693,0.027442740963086062,0.08917166701047434,0.006310400091642701
crouchwalk_frac,micro,0.1273447531420958,0.21047412240323413,0.0014584123552803209,0.0534291996098378,0.04550942901918568,0.007616153410908342
fwd_switch_per_s,micro,0.12217686999150588,0.1522125914693936,0.009077335831020538,0.5893560303728482,0.1675879730304587,0.034130782724637224
frac_air,micro,0.1168898359045979,0.15993586908447577,0.007174052630882085,0.09459598309847317,0.05143039196338293,0.029314642240429043
dwell_CTRL_ms,keydyn,0.11550630799652453,0.15855083782664858,0.007484589508194649,688.999444412401,760.9382846438496,0.029314642240429043
stop_shot_delay_ms,event,0.11412655515273255,0.09903449550161436,0.04255953966923485,59.78272504177109,58.20138484738445,0.1290515073841315
stop_counterstrafe_frac,event,0.1007276018651998,0.12622737719612712,0.019658307917585348,0.7359445213589699,0.24448595327297307,0.07107234400973164
combo_D,keydyn,0.09367461731828562,0.09534479581306227,0.04710736590955211,0.13728732703000002,0.04525366934205825,0.13837788735930934
strafe_flight_ms,keydyn,0.09068936713568308,0.1203164160401002,0.023331300162433392,24.357032494859347,35.61107503495988,0.07832650768816925
frac_ducked,micro,0.08625346873093237,0.17363424775906428,0.004699189422869903,0.07857876037248314,0.08280807298227921,0.022086190287488542
shots_per_s,micro,0.08490234473432695,0.03449665760563691,0.21715768600139818,0.16625831776735234,0.10208991942901977,0.44375701052459626
presses_S_per_s,keydyn,0.08347621085636968,0.11562853724919565,0.026691925807792935,0.18643130092760937,0.10937647993553253,0.08651865606663917
presses_W_per_s,keydyn,0.07859217233490515,0.029821364782168805,0.2408217898038703,0.4258354930926202,0.10723462974242129,0.4816435796077406
combo_switch_per_s,keydyn,0.0773230764417511,0.07601761757334503,0.07901470524336836,4.119477014730509,0.9581954041886057,0.2063161748021285
stops_per_s,event,0.07469720136730926,0.08301449360942365,0.06571656282210817,0.25036247352913293,0.15053708755980974,0.1871926334932778
combo_WA,keydyn,0.07290560174893414,0.058896690255049663,0.12210418973006938,0.09471995188138016,0.042127168943681466,0.3020472061743822
presses_A_per_s,keydyn,0.0623527346885727,0.03739089291887388,0.2034472760320033,0.8173635958488576,0.2554024011165826,0.4421588177967205
peek_narrow_frac,event,0.04993913775979234,0.028790994768779086,0.24629378641366542,0.0872560188349662,0.19096916302110534,0.48232533172676145
dwell_SHIFT_ms,keydyn,0.04956990063646131,0.08133309827592071,0.06871404772548148,1592.4527365473475,1015.502021430682,0.1899741319469194
dwell_A_ms,keydyn,0.04636762157543418,0.04779643714511679,0.1597897454438019,341.458742987554,97.0673377970661,0.3755059017929344
frac_walkkey,micro,0.04600773667423017,0.04245984233967983,0.18110692952006902,0.24091486443397267,0.1481702401338756,0.41081407635337197
lat_speed_frac,micro,0.04470922788132582,0.02353807312398698,0.2756584762865278,0.34833507553475407,0.10788763307411088,0.49965774407043284
stop_speed_before,event,0.042389575351422334,0.02340981129293863,0.27640641161343094,168.48177428713927,12.558268497891522,0.49965774407043284
peek_lat_ratio,event,0.04072609212190215,0.015153146018560005,0.3276757717219096,13.504665178340101,12.56607726310169,0.5361382706228038
presses_total_per_s,keydyn,0.040117773556026935,0.041880436385080134,0.18355522560469809,2.5384928825504893,0.5683945769846109,0.41081407635337197
counterstrafe_per_s,micro,0.038882620618887385,0.017852720035382925,0.31023684504037874,0.7980142489738202,0.4550266923375732,0.5361382706228038
combo_none,keydyn,0.03264878150580084,0.0,0.5419929639157495,0.12545002861823795,0.09726253605525534,0.7278191229725779
path_len,macro,0.03196363892748005,0.035636886333481124,0.21167177447715343,7514.332180144836,3543.915391831949,0.4421588177967205
accel_std,micro,0.027504605245023704,0.023648069724254234,0.27501823120207286,583.2428066979616,68.49258071491805,0.49965774407043284
speed_std,micro,0.024951154111608465,0.07863870571940507,0.07377438156446196,87.35150760601688,7.922370895716642,0.19813691048741214
peek_depth_p90,event,0.02343880311130207,0.03568894799177183,0.21142392746498956,115.71942354710731,60.59952197327206,0.4421588177967205
dwell_S_ms,keydyn,0.023166148970374802,0.0574305142338265,0.12659994845376574,412.8348616654119,186.87299742116696,0.30513833729882
peek_shots_mean,event,0.021940352320864377,0.0,0.7689292804262445,0.4035467456520088,0.5390855906974679,0.8225868189877444
strafe_switch_per_s,micro,0.018795215922117848,0.007116005368825075,0.3834100407419744,1.6080544999975688,0.4594166778173416,0.6108566750804338
stop_release_frac,event,0.017757652037054136,0.0,0.691304914684145,0.1504556033831431,0.17550675508491068,0.7736031188132099
traversals_per_s,event,0.016406004626850768,0.014754482695870784,0.33030643898171863,0.03864839222238505,0.03206286997363465,0.5361382706228038
combo_A,keydyn,0.014429466774304843,0.00011259767064690523,0.4363911872375164,0.1340165996668744,0.0465641887893816,0.6308836512835052
lat_reversal_per_s,micro,0.013887831658417565,0.01467860828541916,0.33080872017151725,0.5695114273848255,0.24995549708611287,0.5361382706228038
combo_SD,keydyn,0.012390643768413085,0.07399969997812654,0.08327266721568118,0.02168664294455526,0.02230169870835717,0.21155758698037921
peek_return_frac,event,0.009805022171009035,0.002317028890173134,0.41929656712933544,0.4965823650034176,0.38817641852765206,0.6158418329712114
dwell_D_ms,keydyn,0.009620373681018748,0.02434720919071946,0.2709742793529579,346.5460330556483,95.08771056966606,0.49965774407043284
combo_SA,keydyn,0.009607233399310595,0.0,0.7148609964782133,0.025801132317774568,0.025127835685026686,0.7905521608112006
peek_yaw_swing,event,0.0085796390741024,0.0,0.5004000149932964,30.352363785797092,29.943329408310376,0.6887398532338578
stop_speed_at_shot,event,0.0083944882301184,0.0,0.910402579504266,31.39800206383169,21.900549323129482,0.9301939399282718
stop_counter_fwd_frac,event,0.0026707019804609326,0.1089916539059406,0.03222820284344428,0.0757523041638634,0.14833521415541615,0.10098170224279207
peek_commit_frac,event,0.0007882725001170054,0.0,0.6353966043133106,0.29289131920710865,0.32763151789588474,0.7531258753225124
peek_out_ms_mean,event,0.0,0.0,0.6068443868681139,929.759970475431,275.4252278520827,0.7531258753225124
peek_walk_frac,event,0.0,0.0,0.642480703478957,0.22724883316010325,0.2541305909835756,0.7531258753225124
peek_shift_frac,event,0.0,0.0,0.7397532963144948,0.2340662261714893,0.3027863356257302,0.8085675564367735
peek_wide_frac,event,0.0,0.0,0.6457953335082799,0.005263157894736842,0.051298917604257706,0.7531258753225124
peek_peak_speed,event,0.0,0.0035696050232176734,0.4097507536538116,158.39255228980852,32.82378958101796,0.6158418329712114
wide_peek_per_s,event,0.0,0.0,0.6457953335082799,0.0003644491266033621,0.0035522106861482156,0.7531258753225124
peek_jiggle_frac,event,0.0,0.0,0.6217840011281002,0.40406318827371457,0.3790223236865715,0.7531258753225124
wide_depth_mean,event,0.0,0.0,0.6457953335082799,182.47879804079494,8.640578932974586,0.7531258753225124
peek_depth_mean,event,0.0,0.0032818386273617173,0.4119328459273426,78.54362831707792,40.06855996982137,0.6158418329712114
peeks_per_s,event,0.0,0.0,0.6631126933282669,0.0474490214936584,0.03918224351792714,0.7531258753225124
speed_mean,micro,0.0,0.016594059375251897,0.31828620941377805,163.0060280502151,16.06302082915922,0.5361382706228038
stop_shot_frac,event,0.0,0.004753565109416785,0.40084271061012733,0.20971031745852112,0.19875920418205603,0.6158418329712114
path_efficiency,macro,0.0,0.0,0.6649941239549844,0.27455868087478,0.1902981914703427,0.7531258753225124
speed_p90,micro,0.0,0.0,0.9410267670489048,249.95489468223172,1.5686079666235633,0.9511453344365274
frac_still,micro,0.0,0.0,0.6586661266574916,0.11896594882059279,0.10217446592393714,0.7531258753225124
frac_slowmove,micro,0.0,0.0,0.5055643603525126,0.39590042000953635,0.14775506723618176,0.6887398532338578
frac_run,micro,0.0,0.0,0.5915297570136534,0.3898990904914785,0.16560888174241348,0.7531258753225124
key_entropy,micro,0.0,0.0023907194456736602,0.4187315648959546,2.627184962477298,0.31240568334250096,0.6158418329712114
path_per_s,macro,0.0,0.0,0.8295058641040776,156.49425631686344,43.18498075703485,0.8568522112723439
dwell_W_ms,keydyn,0.0,0.0,0.7700812773502288,1276.225141282187,446.4921109162255,0.8225868189877444
stop_overshoot_frac,event,0.0,0.0,0.5683390049749726,0.7081711942207783,0.23490147276693119,0.7524488234879918
presses_D_per_s,keydyn,0.0,0.0,0.47114530020470924,0.7969036984959944,0.24123501149270385,0.661009824167801
presses_SHIFT_per_s,keydyn,0.0,0.0,0.9957277291103658,0.16564897473940784,0.09440546724621625,0.9957277291103658
combo_W,keydyn,0.0,0.0,0.7822797713675196,0.32765354360659565,0.11558072961663017,0.8262280731297398
combo_S,keydyn,0.0,0.0,0.8130111727759297,0.02847215491444241,0.024747055937830994,0.8491450026770823
stop_crouch_stop_frac,event,0.0,0.01786550677261175,0.3101558032465205,0.037847571094023466,0.14750254517490335,0.5361382706228038
stop_ms_mean,event,0.0,0.0,0.44296086153948233,135.74443946760587,42.98847367049624,0.6308836512835052
wide_return_frac,event,0.0,0.0,0.6457953335082799,0.010526315789473684,0.10259783520851541,0.7531258753225124
