feature,family,icc1,eta2_H,k_rounds_R80,k_rounds_R90,g_max_pair,n_per_player_a05,n_per_player_bonf
combo_SD,keydyn,0.10901151580920775,0.10504349559001236,32.69337106550111,73.56008489737751,1.3991521360566774,9.087248415952432,22.373647204391936
path_efficiency,macro,0.10639563332841369,0.08455447216242448,33.59552788837785,75.58993774885016,1.1779311375664072,12.35172394413866,30.28247877595243
yaw_rate_mean,micro,0.10606670128575038,0.10886714627917776,33.71211842653378,75.852266459701,1.4434163686988488,8.609490764032397,21.211552669041073
combo_S,keydyn,0.10500139400173986,0.07108716851446596,34.09473234168417,76.71314776878938,1.322546851682998,10.0321554287616,24.667661483206153
peek_lat_ratio,event,0.10440386268419627,0.08606577014681449,34.312758715635965,77.20370711018091,1.1697813160706205,12.508874896218785,30.66229257301481
yaw_rate_p95,micro,0.0979413381868986,0.10055990691692498,36.840773406290594,82.89174016415383,1.1781251472069079,12.348022824786096,30.273533177603838
wpn_knife_frac,habit,0.0966969348476622,0.09143469566502048,37.366357747550744,84.07430493198918,0.9061165597335873,20.126190794695024,49.02904802776683
combo_WD,keydyn,0.09547491294765112,0.09533004358195056,37.895822436551484,85.26560048224083,1.6904212859461472,6.607066209768195,16.315062389942923
frac_still,micro,0.0858042264859625,0.07635555168629417,42.61775024164337,95.88993804369758,1.1925404978738083,12.078098151027513,29.621029746631397
peek_shift_frac,event,0.0841626243877149,0.12316672783322692,43.527035059803524,97.93582888455794,1.8926167323592176,5.529652519682099,13.650227265532273
peeks_per_s,event,0.08264854993284648,0.06129412304277266,44.39770332631459,99.89483248420783,1.02662386874906,15.914072392502298,38.88075969333064
max_dist_start,macro,0.08013996800478988,0.08762849024946143,45.912672784707446,103.30351376559175,1.3978623079257988,9.1018656258063,22.40917594886771
peek_out_ms_mean,event,0.07762049171448299,0.05100557325278547,47.532783568461376,106.9487630290381,1.2629747946564687,10.890569357771378,26.747810874093105
flick_per_s,micro,0.07445064674907126,0.07397504203595096,49.72686705438055,111.88545087235623,1.216619717689194,11.64862288640342,28.582423972691046
peek_depth_p90,event,0.07193083534223467,0.06356595732217366,51.60897466251688,116.12019299066296,0.874985908556551,21.50774877224397,52.355263007124044
stop_speed_before,event,0.06887217850909269,0.08646132026668076,54.07860425776877,121.67685957997972,1.3267182582276191,9.976392709020768,24.53241881169684
disp_10s,macro,0.06636264042922732,0.06192487389726034,56.274877161734025,126.61847361390154,1.094043075892272,14.142831832962004,34.608183319493264
key_entropy,micro,0.06411753149585704,0.13772840952260335,58.38543354181471,131.3672254690831,1.3466669167252758,9.716941275378066,23.90295931275819
disp_20s,macro,0.06202668098480823,0.05815188683876473,60.48837720302483,136.09884870680588,1.1794517656702477,12.322764291932417,30.212482418480676
stop_speed_at_shot,event,0.061549314639320264,0.07282127478203243,60.98853843361295,137.22421147562912,0.6163820945998861,42.29988695282121,102.36305651868115
combo_SA,keydyn,0.061217777014348974,0.05203713083237169,61.34049740261611,138.01611915588623,0.942369678347165,18.687192009200125,45.56348423012536
dwell_W_ms,keydyn,0.061216389750359035,0.06492917932970324,61.34197812566268,138.01945078274102,1.089139448931994,14.260606231891021,34.89241379756133
path_per_s,macro,0.05866498265344734,0.059186056941454686,64.18377538146171,144.41349460828883,0.9663822199886991,17.822214167848806,43.47971193524027
radius_gyration,macro,0.058204832744437066,0.04679221539825276,64.72281581089676,145.6263355745177,1.0656829823837743,14.846794684425095,36.30678197531263
speed_p90,micro,0.0579973406611081,0.04972072018469945,64.96867950158142,146.17952887855822,0.8525564844117669,22.598614229679434,54.98103551016651
combo_W,keydyn,0.05464564802446454,0.0571904810898652,69.19887574961548,155.69747043663486,1.167854908825328,12.546508248641544,30.753235591853304
stop_shot_frac,event,0.05166434944846449,0.06306856998877385,73.4228272048606,165.20136121093634,0.9053670200801267,20.157784919628625,49.10512369656606
traversals_per_s,event,0.05018841957347049,0.07083910531876098,75.69966047933482,170.32423607850336,1.4650599223469314,8.391752859519201,20.681328373079296
knife_run_frac,habit,0.04620087131965253,0.05755137763285637,82.57845373358825,185.80152090057356,0.7668832472761187,27.685770473046613,67.22134599076634
speed_std,micro,0.04300044224611703,0.08611162994386037,89.02229909882391,200.30017297235378,0.9435428886455498,18.643384552112956,45.457962434194464
wpn_pistol_frac,habit,0.039987789852295536,0.10482211779267592,96.03053469008807,216.06870305269817,0.9140392909978623,19.79699054059633,48.236331649895995
stop_shot_delay_ms,event,0.0371721994739658,0.039723530957275585,103.60729944972644,233.11642376188448,1.3814181446735116,9.29188235144005,22.870903319664233
peek_peak_speed,event,0.03533984847847892,0.0855809873030417,109.18667657661011,245.67002229737273,1.7796248783878164,6.0848330089710965,15.027285074687473
peek_depth_mean,event,0.03409421760264822,0.030049912337646412,113.32194727616529,254.9743813713719,0.7759763514828694,27.064663950434795,65.72721853251632
z_range,macro,0.03310996518626517,0.01995161452830081,116.80955016102827,262.8214878623136,0.9082864181551553,20.035170339341793,48.80987620732178
peek_wide_frac,event,0.03173674931986088,0.001857825567739402,122.03685272507722,274.58291863142375,0.4752298856913937,70.48043636401167,170.09925146135816
sniper_zoom_frac,habit,0.03119806987957927,0.0,124.21305982836475,279.4793846138207,0.5175299113441784,59.58493442383196,143.9122469465946
reload_per_s,habit,0.030191338662431066,0.0879689646313003,128.4883286800875,289.0987395301969,1.2468529556058492,11.144544528591588,27.36268953266753
speed_mean,micro,0.023801422413469928,0.038749419610822136,164.05718290753424,369.12866154195206,0.9452966453731163,18.578204134779263,45.30095703903235
wide_depth_mean,event,0.023142182351140222,0.028433899995317747,168.84454591651422,379.90022831215697,0.5942994242686914,45.425936414560525,109.8780722508013
peek_yaw_swing,event,0.018845992481425426,0.0658117535714305,208.24671526014848,468.55510933533407,0.7101137764784378,32.11932587577727,77.88480090555609
frac_run,micro,0.009803343991466233,0.03865599950841129,404.02403786728115,909.0540852013825,0.7480252970343305,29.04693765696964,70.49550575111938
peek_commit_frac,event,0.0052321336697676935,0.009513995301668124,760.5064618881576,1711.1395392483546,1.009932251271885,16.40858503362946,40.07294650592479
peek_shots_mean,event,0.0021508878232917835,0.11157136484113418,1855.697170946963,4175.318634630667,0.3875890885316108,105.4635308590195,254.17342716151236
wide_peak_speed,event,0.0010575489787341954,0.028433899995317747,3778.3307292941577,8501.244140911855,0.42372961970196293,88.40038605303867,213.1667566886124
wide_return_frac,event,0.00040427345244356116,0.00036616289044614174,9890.293023256143,22253.159302326323,0.5045017114519732,62.65029298190039,151.27991020562644
wide_peek_per_s,event,0.00010384227466861794,0.00019500212512510532,38515.957433182426,86660.90422466047,0.4844939408333509,67.84825480303401,163.77302512275878
peek_narrow_frac,event,0.0,0.0,,,0.46558383633052086,73.38987280638574,177.09175319785032
peek_return_frac,event,0.0,0.0,,,0.609963751041295,43.173545251700816,104.46337409124251
peek_jiggle_frac,event,0.0,0.0,,,0.5622267755233725,50.63928756257378,122.41011239007545
stop_crouch_stop_frac,event,0.0,0.0,,,0.6912567051546836,33.83941569571498,82.02121530343835
reload_ammo_ratio,habit,0.0,0.0,,,0.4670238710945928,72.94405264495826,176.020280148228
