feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
combo_D,keydyn,0.12083872868979055,0.12046154942844665,1.507568386360593e-05,6.479113092037387e-17,0.9984744278717329,2.9603161041262554e-05
dwell_SHIFT_ms,keydyn,0.1161934514946789,0.15852716808875672,1.9825922429984222e-07,-7.558965274043619e-17,0.9984744460981303,5.222438103508038e-07
nade_walk_frac,habit,0.11490568004583442,0.10998024408389868,4.707175492755147e-05,-3.2395565460186937e-17,0.9984744337086129,8.069443701865967e-05
path_per_s,macro,0.11447817709905704,0.13439740140859194,3.1909351783032612e-06,-8.63881745604985e-17,0.9984744460763982,7.332361686313877e-06
yaw_rate_p95,micro,0.11315089507560093,0.1116387613435463,3.938220782958283e-05,-2.591645236814955e-16,0.9984744460878504,6.860126525153138e-05
combo_SA,keydyn,0.11101618598726443,0.09066836818746841,0.0003552313761796159,4.319408728024925e-17,0.9984743972079343,0.0005115331816986469
max_dist_start,macro,0.10676084993375336,0.11256856132999811,3.562390520909408e-05,-7.558965274043619e-17,0.9984744460971521,6.307183217347804e-05
flick_per_s,micro,0.10524975978806153,0.10965784869281965,4.872840169412953e-05,2.0517191458118395e-16,0.9984744449345233,8.222917785884358e-05
peek_walk_frac,event,0.1048590876173902,0.10405588183672616,8.849170709516594e-05,3.2395565460186937e-17,0.9984744418314738,0.00014264334875041673
moving_shot_frac,micro,0.09977047112174248,0.09583701703228692,0.0002090355801850769,1.2688263138573217e-16,0.9984744424792027,0.0003271861255070769
combo_WA,keydyn,0.09720493753237182,0.12644087625740724,7.783406946786143e-06,-1.4038078366081006e-16,0.9984744266466145,1.751266563026882e-05
diag_frac,micro,0.09030087236508984,0.11516165424206509,2.690097599132888e-05,-4.319408728024925e-17,0.9984744350130956,4.924246452650032e-05
path_len,macro,0.08838803863060404,0.12269466663180853,1.1788494348431666e-05,1.5117930548087238e-16,0.9984744460985099,2.4963870384914114e-05
peek_shift_frac,event,0.08412167927272558,0.10045813638604328,0.00012922788642079808,3.2395565460186937e-17,0.9984744424737975,0.00020524429019773814
peeks_per_s,event,0.07793025276897846,0.043082865450654796,0.02881242939967526,1.2958226184074775e-16,0.9984744240175345,0.032755182896472924
frac_still,micro,0.07537255386616486,0.0710787463321475,0.0024407129635376484,9.718669638056082e-17,0.9984744374618594,0.0031758674706273016
radius_gyration,macro,0.07466292675943384,0.06664333513039969,0.0036995298705166713,2.0517191458118395e-16,0.9984744460944815,0.004700579129597653
stop_ms_mean,event,0.07290706440176119,0.08569999311145066,0.0005866505608903634,5.669223955532714e-17,0.9984744460710957,0.0008228345529371331
combo_W,keydyn,0.07133849833681193,0.0800898894582249,0.0010232850954371624,3.563512200620563e-16,0.9984744381891401,0.0013989213962938422
stop_counter_fwd_frac,event,0.06206010339474821,0.0849959962716069,0.000629449412538213,0.0,0.9984744333468126,0.0008715453404375257
peek_lat_ratio,event,0.060263627619205694,0.06005410295281766,0.006754361669160324,3.2395565460186937e-17,0.9984744460023196,0.008196304047969831
speed_std,micro,0.05982426112466996,0.07420320973093292,0.0018120353246468717,-5.723216564633026e-16,0.9984744460030586,0.002386583110510514
disp_20s,macro,0.057985409797458365,0.05228964589473776,0.013369065182130846,1.4038078366081006e-16,0.998474446097304,0.015866582853517927
combo_SD,keydyn,0.05679458355206058,0.07463847293625694,0.0017378553688638118,7.558965274043619e-17,0.9984743962043472,0.0023171404918184155
stop_overshoot_frac,event,0.05643673678828661,0.07480376202566513,0.00171045513787564,-5.3992609100311566e-17,0.9984744423028683,0.002309114436132114
disp_10s,macro,0.05507387907776033,0.06556501632658815,0.004087985726068678,-1.4038078366081006e-16,0.9984744460971265,0.0051337495164583405
dwell_S_ms,keydyn,0.052540336524185806,0.09196783167837616,0.00031113869674311733,2.0517191458118395e-16,0.9984744460945387,0.0004540943141656307
combo_S,keydyn,0.0510943418035646,0.06073433256816503,0.006353242891422507,7.558965274043619e-17,0.9984744054353729,0.007797161730382168
accel_std,micro,0.04032468488467667,0.1258309258615469,8.329436766192914e-06,1.0798521820062313e-17,0.998474446094167,1.8358758586710913e-05
z_range,macro,0.03887573047556939,0.02656267047926278,0.09990374037783671,2.1597043640124626e-17,0.9984744460828405,0.11123303052377696
combo_none,keydyn,0.036986445109749654,0.06969693924282173,0.0027808278277741245,-3.2395565460186937e-17,0.9984744411999457,0.0035753500642810173
stop_speed_before,event,0.03677250915826789,0.08935319853501904,0.0004059992522097242,-5.993179610134584e-16,0.9984744460132896,0.0005769463057717132
peek_peak_speed,event,0.035254008932350395,0.06426566661089606,0.0046075004774310474,-7.558965274043619e-17,0.9984744460695204,0.005719655765086817
wide_depth_mean,event,0.03479258011661902,0.10945148400400974,4.981859262199569e-05,-4.475987294415829e-15,0.9984744459975999,8.277550774116207e-05
silencer_toggle_per_s,habit,0.033667541213864734,0.09358585157450464,0.00026361135925454166,6.479113092037387e-17,0.9984744240020463,0.0003900003671163082
combo_WD,keydyn,0.03039333355140474,0.05171058603342136,0.014050051601318312,4.589371773526483e-17,0.998474426680142,0.01649353883633019
stop_shot_delay_ms,event,0.019390249848984794,0.053611509881100784,0.01192773633938649,-2.483660018614332e-16,0.9984744460812278,0.01431328360726379
peek_commit_frac,event,0.013877133127240919,0.0089136788042609,0.29665312735017196,1.5117930548087238e-16,0.9984744431859027,0.3080628630174863
wpn_pistol_frac,habit,0.01384322865127205,0.11743695993800259,2.0996899717454568e-05,-9.718669638056082e-17,0.9984744424493905,3.9097675335949884e-05
peek_out_ms_mean,event,0.00956164116586605,0.01248457868343168,0.24366610438556865,-2.4296674095140204e-17,0.9984744460950271,0.26055385419446947
traversals_per_s,event,0.007059086404397529,0.009817319671870495,0.28258961794436566,-4.319408728024925e-17,0.9984744128555252,0.29809314949483035
peek_depth_p90,event,0.0068834450330305524,0.009706378690691062,0.28429254072192156,-2.6996304550155783e-17,0.9984744460823055,0.29809314949483035
stop_speed_at_shot,event,0.006059909557737584,0.020273622577624408,0.15201728666822975,4.859334819028041e-17,0.9984744460508759,0.16752925469560012
wide_peak_speed,event,0.00482599884819017,0.12068191575276391,1.4714926717125667e-05,-6.857061355739569e-16,0.9984744458864843,2.9429853434251335e-05
peek_shots_mean,event,0.0,0.02943402662796151,0.08161515423960099,5.3992609100311564e-18,0.9984744448006466,0.09181704851955112
peek_yaw_swing,event,0.0,0.0022952453493254917,0.4122618745715167,4.319408728024925e-17,0.9984744460678161,0.42004040050682834
wide_peek_per_s,event,0.0,0.09493479365752006,0.0002294441776045021,-2.1597043640124626e-17,0.9984742605517256,0.00034901367860966517
stop_crouch_stop_frac,event,0.0,0.04627733564918657,0.022194880056578357,2.6996304550155783e-17,0.9984744341925298,0.02577469942054261
peek_return_frac,event,0.0,0.0,0.7789486536192624,2.1597043640124626e-17,0.9984744434129917,0.7789486536192624
peek_depth_mean,event,0.0,0.003543340687201658,0.3888885427901121,-9.178743547052966e-17,0.998474446077823,0.3999996440126867
peek_wide_frac,event,0.0,0.09421634267904291,0.00024706790589008057,-2.1597043640124626e-17,0.9984744326601839,0.00037060185883512083
peek_narrow_frac,event,0.0,0.017097808055710532,0.18551167363875212,-4.319408728024925e-17,0.9984744403131272,0.20237637124227506
peek_jiggle_frac,event,0.0,0.0,0.6244815713556171,1.2958226184074775e-16,0.998474443180165,0.6303178477234266
stop_shot_frac,event,0.0,0.013452581498245329,0.2305039923486842,-1.0798521820062313e-17,0.998474441490551,0.24894431173657897
reload_ammo_ratio,habit,0.0,0.04500765150816569,0.02463825842145468,-4.913327428128353e-16,0.9984744379816961,0.02830778627145857
wide_return_frac,event,0.0,0.09506599863703495,0.000226360325246506,2.4296674095140204e-17,0.9984744410075985,0.00034901367860966517
