a,b,euclid_z,euclid_z_norm,mahalanobis,cv_auc
Senzu,maggent,6.479340074331319,0.6234747893477195,4.535233633281815,0.9204152249134948
Senzu,tN1R,6.48527933678485,0.6240462951437751,4.320173489141392,0.9117647058823529
OWNER,zont1x,6.493695833308301,0.6248561728993498,4.585918601373872,0.9595588235294117
donk,sh1ro,6.5462289353898475,0.629911173004041,5.108418504332374,0.9125000000000001
Magisk,tN1R,6.586213362370314,0.6337586762841352,4.300631443347644,0.7242647058823529
Senzu,fakerealityy,6.603438068144673,0.6354161243700581,4.3416435724893985,0.8166089965397924
Magisk,sh1ro,6.623105483987985,0.6373086223419583,4.611444680279291,0.796078431372549
magixx,sh1ro,6.68502649890209,0.6432669747801505,4.800992285380593,0.9500000000000001
kr1vda,sh1ro,6.689935265593664,0.6437393210752786,4.703777374614346,0.8764705882352942
Mzinho,sh1ro,6.701207861520898,0.6448240271241211,4.943407015464551,0.9176470588235295
Senzu,magixx,6.7166848271787885,0.6463132988389247,4.761295318414062,0.9080882352941176
ZywOo,donk,6.727039711151116,0.6473096980137332,4.591157953647344,0.8984375
flameZ,sh1ro,6.728076875186748,0.6474094991695941,4.867933202168799,0.8729166666666667
ZywOo,flameZ,6.766530650328561,0.6511097154078413,4.691772075691751,0.93359375
Tr0ublE,s1mple,6.79835042044709,0.6541715742150888,4.664344099386855,0.9463667820069204
fakerealityy,sh1ro,6.800505796038204,0.6543789753280445,4.556238837134191,0.8705882352941176
ZywOo,fakerealityy,6.802008657228413,0.6545235882134982,4.319988296379133,0.7279411764705883
maggent,sh1ro,6.825819335340938,0.6568147717831405,4.743464673908011,0.8470588235294118
sh1ro,tN1R,6.852291811093481,0.6593620869501149,4.814035130001432,0.9875
donk,magixx,6.85992373195063,0.6600964688769997,4.412603851724653,0.89453125
OWNER,Senzu,6.892501013097935,0.6632312192169769,4.448915196219177,0.9584775086505191
Magisk,mezii,6.907546679824317,0.6646789891727458,4.35459605929473,0.8639705882352942
maggent,mezii,6.93291349452488,0.667119912055388,4.794581023051022,0.9411764705882353
apEX,donk,6.941824235736235,0.6679773485282305,4.898881917986218,0.8828125
ropz,tN1R,6.949998034906281,0.6687638727200852,4.6762009309814045,1.0
