feature,cs2_mean,csgo_mean,difference,n_cs2,n_csgo,p_value,cohens_d,invariant
sniper_opening_kills_per_round,0.01611758241758242,0.020015846338535415,-0.003898263920952997,1820,1666,9.638001451403003e-34,0.11669451485874802,True
sniper_kills_percentage,10.393406593406594,12.975270108043217,-2.5818635146366233,1820,1666,1.8172698046940837e-34,0.13386230366454407,True
trade_kills_per_round,0.1375989010989011,0.1340456182472989,0.0035532828516021964,1820,1666,2.0826752996086837e-06,0.13504603748502933,True
sniper_kills_per_round,0.07305494505494506,0.09245498199279711,-0.019400036937852055,1820,1666,9.246165325315106e-36,0.13946814568719632,True
flashes_thrown_per_round,0.5765989010989011,0.6066686674669868,-0.03006976636808567,1820,1666,2.371777369665397e-07,0.15133590839200148,True
utility_damage_per_round,4.755505494505495,4.455234093637455,0.3002714008680396,1820,1666,3.8080851508218524e-05,0.15150840169515298,True
sniper_multi_kill_rounds,0.01820043956043956,0.023890456182472992,-0.005690016622033431,1820,1666,4.175526292971196e-31,0.15260369241129582,True
kills_per_round,0.6814505494505495,0.6937815126050421,-0.012330963154492558,1820,1666,7.532321940874486e-11,0.16595330076238798,True
rounds_with_a_multi_kill,16.47708791208791,16.947058823529414,-0.4699709114415036,1820,1666,6.861837582962121e-11,0.1680248066733995,True
damage_per_kill,109.73241758241758,108.36374549819928,1.3686720842183036,1820,1666,1.6237424121942176e-06,0.17100125828535903,True
flash_assists_per_round,0.045472527472527474,0.04086674669867947,0.004605780773848003,1820,1666,0.0003140802241835896,0.17206194522786722,True
saves_per_round_loss,8.217527472527474,7.541776710684273,0.6757507618432008,1820,1666,6.292228752437139e-10,0.1856611482268232,True
opening_deaths_traded_percentage,25.95008255365988,24.281702898550726,1.6683796551091525,1817,1656,1.403811709167374e-20,0.188713109792267,True
damage_per_round,74.54329670329669,75.91008403361344,-1.366787330316754,1820,1666,5.926161646810209e-11,0.19504534278239455,True
firepower,0.5736703296703296,0.6276950780312125,-0.05402474836088289,1820,1666,5.087002349729017e-12,0.22597466824313212,True
trade_kills_percentage,20.21527472527473,19.40750300120048,0.8077717240742466,1820,1666,2.9932861141333526e-17,0.23048077829911456,True
traded_deaths_per_round,0.13485714285714284,0.12813925570228094,0.006717887154861907,1820,1666,3.7021304275885496e-17,0.2573253820998587,True
kills_per_round_win,0.9313296703296703,0.9612244897959182,-0.029894819466247946,1820,1666,1.0993109350371905e-18,0.26910768855754097,True
saved_teammate_per_round,0.1057912087912088,0.09873949579831932,0.007051712992889481,1820,1666,3.063456057969074e-24,0.2932286572737596,True
traded_deaths_percentage,20.57423076923077,19.4328331332533,1.1413976359774693,1820,1666,5.488876607769874e-28,0.3269186318523018,True
entrying,0.5017472527472527,0.3951680672268907,0.10657918552036205,1820,1666,7.001758639311718e-37,0.4414280112824475,True
saved_by_teammate_per_round,0.10437912087912089,0.0939015606242497,0.01047756025487119,1820,1666,8.763125950524223e-52,0.47129473814322287,True
trading,0.48875274725274725,0.3868547418967587,0.10189800535598853,1820,1666,3.851429688309158e-43,0.486176114296439,True
support_rounds,20.724615384615387,17.570408163265306,3.154207221350081,1820,1666,5.0003612039947535e-172,0.9634201080068999,False
assists_per_round,0.18774725274725276,0.1235654261704682,0.06418182657678456,1820,1666,0.0,1.8012956968708216,False
assisted_kills_percentage,27.058186813186815,17.838355342136854,9.219831471049961,1820,1666,0.0,2.5112147621008796,False
