feature,ct_mean,t_mean,difference,n_pairs,t_statistic,p_value,cohens_d,invariant
sniper_multi_kill_rounds,0.027924727481353988,0.013513941480206541,0.014410786001147447,3486,28.577552837243992,1.4643377456036029e-161,0.4840178130050762,True
sniper_kills_percentage,14.020229555236728,8.75893830703013,5.261291248206598,3485,30.102377903296052,3.7460587378917805e-177,0.5099169075790321,False
damage_per_round_win,100.7659293306521,92.55081873024993,8.21511060040217,3481,31.349466598374608,3.1050661021334513e-190,0.5313468914978747,False
sniper_kills_per_round,0.10568273092369479,0.05690476190476191,0.04877796901893288,3486,31.436007892156326,3.470264569363347e-191,0.5324314463253113,False
last_alive_percentage,9.107314974182444,11.45140562248996,-2.3440906483075157,3486,-32.29738557368454,1.996904418867048e-200,0.5470205941071082,False
opening_deaths_per_round,0.08624211130235228,0.10988525530694206,-0.023643144004589778,3486,-32.34422179926604,6.223914923546695e-201,0.5478138589329834,False
opening_kills_per_round,0.11501434308663226,0.0912352266207688,0.023779116465863462,3486,32.446795072055295,4.829330793283632e-202,0.5495511417385119,False
rounds_with_a_multi_kill,17.946184738955825,15.414170969592657,2.532013769363168,3486,34.110223897445344,2.66526154389689e-220,0.5777246241476006,False
kills_per_round_win,0.9935823039356506,0.8945935076127549,0.0989887963228957,3481,34.55016198038217,3.655612354870944e-225,0.5855959657691894,False
assists_per_round,0.1721113023522662,0.14208548479632818,0.030025817555938028,3486,35.57122730431166,1.0416499855684412e-236,0.6024696286555722,False
rounds_with_sniper_kills_percentage,10.996930533117931,6.325,4.671930533117931,2476,31.297748594383144,1.855019138001725e-181,0.6289813632869925,False
rounds_with_a_kill,48.74130808950086,44.50938037865749,4.231927710843372,3486,39.461346071776994,7.22557085851213e-282,0.6683565430769037,False
kills_per_round,0.7257544463568562,0.6479403327596098,0.07781411359724633,3486,40.82417432452789,4.007192917907334e-298,0.6914387556846375,False
trade_kills_per_round,0.12069420539300058,0.15173264486517496,-0.031038439472174384,3486,-41.22206218066468,6.601500909377279e-303,0.6981777795277716,False
damage_per_round,78.96161790017212,71.33330464716008,7.628313253012038,3486,44.143306566491944,0.0,0.7476548753076013,False
traded_deaths_per_round,0.11692484222604706,0.14681296615031553,-0.02988812392426847,3486,-44.448459120503365,0.0,0.7528232419856968,False
opening_success,56.86503155479059,45.61244979919679,11.252581755593802,3486,45.904260996166435,0.0,0.7774801481959726,False
attacks_per_round,2.815418818129661,2.4394262765347103,0.37599254159495077,3486,49.43516652189712,0.0,0.837283070448448,False
support_rounds,21.278313253012048,16.88006310958118,4.398250143430868,3486,51.53438265858608,0.0,0.8728374795083086,False
saved_teammate_per_round,0.08350545037292026,0.12091795754446358,-0.03741250717154332,3486,-53.68599574170697,0.0,0.9092793352842882,False
utility_damage_per_round,5.738092369477912,3.4511015490533565,2.2869908204245557,3486,55.06826619106566,0.0,0.9326908402403109,False
flashes_thrown_per_round,0.4761790017211704,0.7199254159495123,-0.24374641422834192,3486,-57.291062958655566,0.0,0.9703383335834593,False
saved_by_teammate_per_round,0.08099541021227769,0.11696500286861733,-0.035969592656339644,3486,-57.7213785853829,0.0,0.9776265863508211,False
trade_kills_percentage,16.674720229555238,23.560889526542322,-6.8861692969870845,3485,-59.27331534065815,0.0,1.0040557512619552,False
saves_per_round_loss,13.062306368330464,2.6868043602983365,10.375502008032129,3486,115.92411874632195,0.0,1.9634059903481458,False
