feature,family,icc1,eta2_H,p_kw,mean,sd,q_bh
silencer_toggle_per_s,habit,0.10079275569947208,0.08243675893535608,3.704833210600046e-218,1.804350811550034e-17,0.9999626356455537,7.694653591246249e-218
combo_A,keydyn,0.0985617977042056,0.10329958996811288,2.7604565660499946e-277,5.943743849811877e-17,0.9999626345029392,7.098316884128558e-277
frac_walkkey,micro,0.08879113320375795,0.08559323391307763,4.400116016590439e-227,-6.368296981941297e-18,0.9999626458247556,9.900261037328488e-227
combo_D,keydyn,0.08670059206258555,0.08733309800779541,5.251659077591665e-232,-1.0189275171106075e-16,0.9999626339723147,1.2067642135742548e-231
combo_none,keydyn,0.08421023030915822,0.13301987951000843,0.0,-4.2455313212941976e-17,0.9999626451186002,0.0
nade_walk_frac,habit,0.0787681155965529,0.07473771143749411,1.9989906867234458e-196,5.731467283747167e-17,0.9999626392430123,3.8551963243952174e-196
wpn_nade_frac,habit,0.07658271064807277,0.0798073444654244,9.934077229387477e-211,-3.184148490970648e-17,0.9999626431663512,2.0243025297619765e-210
accel_std,micro,0.0764571157730398,0.11442852277877542,6.197359063103876e-309,9.552445472911945e-18,0.9999626524172689,1.761354681092681e-308
key_entropy,micro,0.07459607578698235,0.1418067008711124,0.0,-6.156020415876586e-17,0.9999626497514231,0.0
frac_slowmove,micro,0.0703873428343111,0.07537725380319016,3.146328911696266e-198,-2.5473187927765188e-17,0.9999626457012353,6.178245862967213e-198
frac_air,micro,0.0701350685908989,0.06691381938081993,2.0927406461016434e-174,4.457807887358908e-17,0.9999626310798643,3.6454191899835077e-174
stop_overshoot_frac,event,0.06850210470241405,0.08459670293347828,2.8985102967965716e-224,-4.670084453423617e-16,0.999962647980579,6.138021804980974e-224
speed_mean,micro,0.06731880375840653,0.0732969133569366,2.296859746861893e-192,3.3964250570353584e-17,0.9999626523933902,4.351944783527798e-192
combo_SA,keydyn,0.0660037555829294,0.07306944748123642,1.0045043736384667e-191,6.368296981941296e-17,0.9999626060215361,1.8704564198785243e-191
frac_still,micro,0.06425645617544298,0.09206627486489206,2.0675755257642657e-245,1.740667841730621e-16,0.999962644746812,4.962181261834238e-245
peek_walk_frac,event,0.06405473891166798,0.054864718668365266,1.167551972191168e-140,8.650270067136928e-17,0.9999626479394323,1.8274726521253062e-140
presses_SPACE_per_s,keydyn,0.06361215608438843,0.0680145744314148,1.6871715363411162e-177,-6.368296981941296e-17,0.999962636641875,3.036908765414009e-177
jump_per_s,micro,0.06356924720988298,0.06799345529256902,1.934313927255285e-177,-1.2736593963882594e-17,0.9999626366400581,3.424686953173291e-177
peek_peak_speed,event,0.06338494282645586,0.07723850313583251,1.770725305105364e-203,3.714839906132423e-17,0.9999626523926752,3.541450610210728e-203
stop_ms_mean,event,0.06260567340986589,0.08542898410921393,1.2826390246629226e-226,2.9718719249059384e-16,0.999962652395455,2.8270411155835848e-226
wpn_knife_frac,habit,0.060842120857916376,0.08888540720639547,2.1175873057117405e-236,-2.3881113682279862e-17,0.9999626453945107,4.971726717757999e-236
combo_WA,keydyn,0.05920240473620888,0.06434754862868737,3.3628357009538275e-167,1.1038381435364914e-16,0.9999626304972681,5.764861201635133e-167
frac_run,micro,0.057754959377570685,0.06011719987646872,2.425057675290709e-155,-5.519190717682457e-17,0.9999626455566007,3.968276195930252e-155
frac_ducked,micro,0.05419043747049156,0.08465396050390828,1.9963774387252137e-224,-1.263045568085024e-16,0.999962640737512,4.3121752676464615e-224
traversals_per_s,event,0.05309583612557113,0.05801154059672574,1.8904383741748041e-149,5.943743849811877e-17,0.9999626189670622,3.0472737971772963e-149
combo_SD,keydyn,0.0522122135572597,0.06031482439751852,6.782283445549119e-156,-8.915615774717816e-17,0.9999626028188638,1.126902480183546e-155
combo_S,keydyn,0.05091192631630663,0.04902719519850482,2.1014673420902445e-124,1.008313688807372e-16,0.9999626116583085,3.2422638992249486e-124
peek_shift_frac,event,0.050584402175491996,0.04260569775450585,1.2855579182722243e-106,-2.706526217325051e-17,0.9999626485744121,1.9019213037452084e-106
knife_run_frac,habit,0.05020216557419919,0.0719042371498535,1.9216846780576478e-188,8.066509510458976e-17,0.9999626433931378,3.5176600886478974e-188
combo_W,keydyn,0.0488129192013288,0.05618202720946502,2.4521110751545034e-144,-2.377497539924751e-16,0.9999626427351685,3.8945293546571526e-144
speed_std,micro,0.041364670166974336,0.06273811270850514,1.0996242027682555e-162,2.1970624587697473e-16,0.9999626523377982,1.855615842171431e-162
reload_per_s,habit,0.04039828042167908,0.029528750977508296,7.598347218784431e-71,-2.1227656606470988e-17,0.9999625385416082,1.0387613919350867e-70
path_per_s,macro,0.0388181209916606,0.04804167001720762,1.146329371433284e-121,-2.4836358229571057e-16,0.9999626524006124,1.7437122833069675e-121
peeks_per_s,event,0.03047905516573721,0.029888559172011553,8.081827652933867e-72,1.2736593963882594e-17,0.9999626298103585,1.1190222904062277e-71
stop_counter_fwd_frac,event,0.027191716867983547,0.029942159590700696,5.7871418718563e-72,2.122765660647099e-18,0.9999626418288264,8.117030157928317e-72
sniper_zoom_frac,habit,0.026613217998529164,0.012326695094925424,8.337869361691031e-26,4.2349174929909623e-16,0.9999626431336135,9.283400938790015e-26
combo_WD,keydyn,0.025920479299019635,0.02899161069467223,2.1482806108386684e-69,5.943743849811877e-17,0.9999626307791534,2.9001788246322026e-69
reload_ammo_ratio,habit,0.025903327930755966,0.015274717391861061,3.258976501170592e-33,2.419952853137693e-16,0.9999626453689996,3.704941706593936e-33
peek_lat_ratio,event,0.025799681989116332,0.023682362298643636,3.696531918138833e-55,-1.0826104869300204e-16,0.9999626523392287,4.752683894749928e-55
peek_depth_mean,event,0.0245280897842839,0.0326647578629247,2.3632580062304828e-79,1.3585700228141433e-16,0.9999626524011733,3.358314008853844e-79
peek_depth_p90,event,0.024514472478189303,0.02388785009262654,1.049668753608262e-55,-4.7762227364559724e-17,0.999962652407814,1.3658340408396662e-55
peek_jiggle_frac,event,0.02448314325778238,0.024210472580934683,1.4517122105045707e-56,3.210683061728737e-17,0.9999626494057078,1.9120112040791907e-56
