feature,perm_importance,sd
path_per_s,0.00041451938158186264,8.669943062395288e-05
stop_shot_frac,0.0004070505638956945,0.00010151824048895434
sniper_zoom_frac,0.00039958174620953745,8.923596344272226e-05
speed_p90,0.0003995817462095319,6.794161400647403e-05
combo_A,0.0003958473373664562,9.766746456508803e-05
frac_run,0.00038464411083722895,8.274897231367658e-05
combo_D,0.0003697064754648982,0.00011684582752379551
presses_SPACE_per_s,0.0003659720666218169,9.1168538469875e-05
frac_air,0.00036223765777874674,0.00010369290743829928
frac_ducked,0.0003622376577787356,8.923596344272598e-05
peek_lat_ratio,0.0003510344312495084,9.47686723463189e-05
disp_20s,0.00033983120472025894,9.291101131245231e-05
peek_yaw_swing,0.0003360967958771888,7.653260711001194e-05
peek_depth_p90,0.0003062215251325495,7.046068513001733e-05
peek_shift_frac,0.0002800806632309694,0.00011296200957693276
disp_10s,0.0002726118455448234,6.79416140065198e-05
combo_W,0.0002651430278586608,8.669943062400094e-05
stop_shot_delay_ms,0.0002651430278586553,8.985890966852018e-05
radius_gyration,0.0002576742101724983,8.00070404273477e-05
stop_crouch_stop_frac,0.00025393980132941695,5.488437693891854e-05
jump_per_s,0.0002539398013294114,7.974515088529986e-05
max_dist_start,0.00023900216595709178,9.908506357026168e-05
combo_SD,0.0002277989394278479,8.000704042734769e-05
peek_depth_mean,0.00021659571289860957,8.482946218240464e-05
peek_jiggle_frac,0.00020539248636936014,7.788727169549874e-05
combo_SA,0.00019045485099704053,0.00010151824048899089
peek_out_ms_mean,0.00019045485099704053,0.00010422948492759589
reload_ammo_ratio,0.00017925162446779107,5.488437693891854e-05
peek_narrow_frac,0.0001643139890954659,5.065598613135681e-05
peek_return_frac,0.0001605795802523846,4.274226283614584e-05
stop_speed_at_shot,0.00013817312719389686,4.8833732282567996e-05
peek_commit_frac,0.00013070430950774538,7.421990781370041e-05
stop_counter_fwd_frac,0.00013070430950773982,6.627918197513405e-05
frac_scoped,0.00011576667413543685,0.00013459422877690023
reload_per_s,9.709462992001927e-05,5.333802695153481e-05
peek_shots_mean,9.336022107693242e-05,5.214818150634077e-05
wide_peek_per_s,8.21569945477052e-05,5.736907721163387e-05
wide_peak_speed,7.095376801847242e-05,6.009962259849043e-05
wide_depth_mean,-2.7755575615628914e-17,5.28125163332766e-05
wide_return_frac,-3.3306690738754695e-17,5.7853213028691235e-05
peek_wide_frac,-3.3609679587731646e-05,3.715689883885754e-05
