full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age,role,cluster_group
https://www.hltv.org/stats/players/13915/yekindar?maps=de_mirage,0.91,0.77,0.5,0.79,0.74,0.84,0.2,0.67,0.21,0.18,0.08,0.12,0.17,0.18,0.13,0.14,0.16,0.08,0.12,0.16,0.16,1.1,0.88,0.15,0.14,0.29,0.53,0.72,0.03,0.32,0.02,0.07,0.73,0.97,0.06,0.09,0.05,0.07,0.04,0.01,0.01,0.44,0.3,0.75,0.59,0.03,2.06,YEKINDAR,de_mirage,25,Entry,2
https://www.hltv.org/stats/players/21763/ultimate?maps=de_mirage,0.66,0.72,0.5,0.74,0.71,0.73,0.17,0.61,0.25,0.09,0.07,0.1,0.16,0.17,0.1,0.16,0.3,0.08,0.14,0.19,0.21,1.01,0.81,0.13,0.1,0.23,0.56,0.72,0.02,0.49,0.02,0.13,0.48,1.07,0.08,0.94,0.4,0.55,0.35,0.11,0.11,0.47,0.22,0.58,0.63,0.06,2.27,ultimate,de_mirage,21,AWP,3
https://www.hltv.org/stats/players/2023/fallen?maps=de_mirage,0.59,0.7,0.48,0.67,0.69,0.72,0.17,0.48,0.19,0.12,0.08,0.1,0.16,0.18,0.1,0.18,0.12,0.08,0.11,0.16,0.19,0.93,0.63,0.11,0.08,0.19,0.6,0.72,0.02,0.58,0.03,0.09,0.61,1.0,0.07,0.93,0.38,0.55,0.28,0.1,0.08,0.58,0.27,0.91,0.96,0.06,1.96,FalleN,de_mirage,33,AWP,3
https://www.hltv.org/stats/players/10566/chelo?maps=de_mirage,0.61,0.69,0.46,0.69,0.65,0.75,0.16,0.58,0.21,0.41,0.09,0.13,0.2,0.26,0.13,0.18,0.26,0.09,0.13,0.18,0.18,1.09,0.73,0.12,0.13,0.24,0.48,0.76,0.02,0.38,0.02,0.08,0.64,1.02,0.06,0.05,0.03,0.04,0.03,0.007,0.008,0.4,0.28,0.68,0.59,0.03,1.88,chelo,de_mirage,26,Entry,1
https://www.hltv.org/stats/players/12553/yuurih?maps=de_mirage,0.79,0.72,0.48,0.72,0.72,0.82,0.18,0.62,0.22,0.36,0.09,0.13,0.2,0.26,0.16,0.18,0.45,0.1,0.14,0.2,0.19,1.14,0.41,0.09,0.08,0.17,0.53,0.78,0.03,0.43,0.02,0.1,0.56,1.07,0.08,0.0,0.01,0.01,0.01,0.001,0.0,0.68,0.44,0.83,0.85,0.04,2.06,yuurih,de_mirage,25,Support,2
https://www.hltv.org/stats/players/15631/kscerato?maps=de_mirage,0.75,0.72,0.48,0.7,0.74,0.77,0.18,0.56,0.24,0.09,0.06,0.09,0.16,0.23,0.12,0.22,0.31,0.08,0.14,0.19,0.2,1.07,0.32,0.08,0.06,0.14,0.59,0.74,0.03,0.86,0.04,0.15,0.68,1.15,0.11,0.04,0.03,0.04,0.02,0.006,0.003,0.69,0.46,1.53,0.74,0.04,2.08,KSCERATO,de_mirage,25,Anchor,1
https://www.hltv.org/stats/players/18676/skullz?maps=de_mirage,0.58,0.68,0.45,0.68,0.67,0.73,0.17,0.56,0.21,0.25,0.08,0.12,0.19,0.25,0.13,0.2,0.36,0.08,0.14,0.2,0.21,1.08,0.33,0.09,0.08,0.17,0.51,0.72,0.02,0.6,0.03,0.11,0.67,1.07,0.09,0.0,0.0,0.0,0.0,0.0003,0.0007,0.54,0.31,0.72,0.65,0.04,2.61,skullz,de_mirage,22,Support,1
https://www.hltv.org/stats/players/7592/device?maps=de_mirage,0.85,0.76,0.5,0.75,0.72,0.79,0.19,0.42,0.22,0.05,0.08,0.07,0.11,0.11,0.13,0.15,0.06,0.08,0.09,0.11,0.2,0.73,0.74,0.12,0.09,0.21,0.57,0.8,0.02,0.47,0.02,0.08,0.54,0.73,0.08,0.75,0.24,0.32,0.18,0.06,0.06,0.3,0.38,0.81,0.4,0.02,1.75,device,de_mirage,29,Entry,0
https://www.hltv.org/stats/players/7964/cadian?maps=de_mirage,0.58,0.69,0.48,0.69,0.67,0.73,0.16,0.49,0.21,0.1,0.08,0.1,0.15,0.18,0.11,0.17,0.12,0.08,0.11,0.16,0.18,0.91,0.77,0.12,0.1,0.22,0.56,0.78,0.02,0.54,0.02,0.12,0.54,0.95,0.1,0.92,0.35,0.5,0.26,0.09,0.08,0.64,0.41,0.73,0.75,0.05,1.89,cadiaN,de_mirage,29,AWP,3
https://www.hltv.org/stats/players/10994/stavn?maps=de_mirage,0.83,0.74,0.5,0.74,0.72,0.81,0.18,0.63,0.22,0.31,0.09,0.13,0.19,0.24,0.14,0.15,0.3,0.09,0.13,0.18,0.17,1.1,0.68,0.12,0.1,0.22,0.53,0.7,0.03,0.4,0.02,0.1,0.68,1.03,0.05,0.18,0.1,0.13,0.08,0.02,0.02,0.6,0.41,1.15,0.65,0.04,2.24,stavn,de_mirage,22,Entry,2
https://www.hltv.org/stats/players/17956/jabbi?maps=de_mirage,0.55,0.68,0.46,0.7,0.67,0.71,0.17,0.56,0.23,0.47,0.09,0.14,0.21,0.28,0.12,0.17,0.41,0.09,0.14,0.2,0.21,1.05,0.41,0.09,0.09,0.18,0.51,0.7,0.02,0.62,0.03,0.1,0.75,1.05,0.07,0.0,0.01,0.01,0.01,0.0008,0.001,0.47,0.36,0.83,0.57,0.03,2.31,jabbi,de_mirage,21,Anchor,1
https://www.hltv.org/stats/players/20304/staehr?maps=de_mirage,0.58,0.67,0.46,0.67,0.65,0.75,0.16,0.59,0.2,0.22,0.08,0.12,0.17,0.27,0.14,0.17,0.4,0.1,0.14,0.2,0.17,1.12,0.43,0.1,0.1,0.2,0.48,0.64,0.03,0.44,0.02,0.1,0.55,1.05,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.68,0.43,0.5,0.81,0.04,2.26,Staehr,de_mirage,20,Support,1
https://www.hltv.org/stats/players/150/maj3r?maps=de_mirage,0.28,0.61,0.43,0.59,0.58,0.69,0.14,0.51,0.2,0.17,0.08,0.12,0.17,0.2,0.13,0.19,0.11,0.07,0.11,0.17,0.19,1.1,0.35,0.09,0.1,0.19,0.46,0.7,0.03,0.49,0.02,0.11,0.48,1.0,0.07,0.13,0.07,0.11,0.05,0.02,0.01,0.66,0.41,0.82,0.77,0.05,2.0,MAJ3R,de_mirage,34,Support,1
https://www.hltv.org/stats/players/7938/xantares?maps=de_mirage,0.98,0.81,0.52,0.83,0.74,0.9,0.22,0.65,0.25,0.24,0.09,0.12,0.18,0.18,0.16,0.14,0.26,0.09,0.13,0.16,0.16,1.02,0.86,0.14,0.11,0.25,0.55,0.75,0.03,0.35,0.02,0.08,0.56,0.92,0.05,0.0,0.01,0.01,0.01,0.001,0.0005,0.42,0.34,0.84,0.55,0.03,1.93,XANTARES,de_mirage,29,Entry,2
https://www.hltv.org/stats/players/8574/woxic?maps=de_mirage,0.83,0.76,0.5,0.75,0.74,0.78,0.19,0.6,0.23,0.19,0.08,0.11,0.18,0.2,0.1,0.15,0.36,0.09,0.14,0.19,0.18,1.03,0.73,0.12,0.08,0.2,0.59,0.79,0.02,0.59,0.02,0.14,0.6,1.07,0.07,0.94,0.43,0.56,0.33,0.11,0.1,0.47,0.22,0.62,0.67,0.05,2.02,woxic,de_mirage,26,AWP,3
https://www.hltv.org/stats/players/8575/calyx?maps=de_mirage,0.79,0.74,0.5,0.71,0.69,0.78,0.18,0.58,0.21,0.33,0.08,0.13,0.19,0.27,0.12,0.17,0.38,0.09,0.14,0.19,0.18,1.04,0.35,0.09,0.07,0.16,0.54,0.74,0.02,0.52,0.02,0.11,0.63,1.02,0.06,0.03,0.02,0.03,0.02,0.006,0.003,0.39,0.27,0.56,0.55,0.03,2.25,Calyx,de_mirage,26,Entry,1
https://www.hltv.org/stats/players/21243/wicadia?maps=de_mirage,0.74,0.7,0.47,0.74,0.67,0.78,0.18,0.63,0.21,0.31,0.08,0.13,0.19,0.24,0.15,0.16,0.25,0.09,0.13,0.18,0.19,1.11,0.45,0.09,0.11,0.21,0.46,0.72,0.03,0.5,0.02,0.08,0.62,1.03,0.05,0.01,0.01,0.02,0.01,0.001,0.002,0.35,0.4,0.98,0.42,0.02,2.1,Wicadia,de_mirage,20,Entry,2
