full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/14148/sjuush?maps=de_mirage,0.6,0.68,46.3,0.94,1.07,75.9,16.1,97.5,1.07,0.41,0.09,0.13,20.1,25.6,0.14,18.9,0.29,0.09,0.13,18.8,17.1,112.0,0.52,0.1,0.09,19.6,51.9,73.1,2.68,0.38,0.02,8.9,59.4,1m 1s,6.5,0.03,0.02,2.6,1.4,0.005,0.003,0.61,3.64,0.94,0.75,0.04,2.31,sjuush,de_mirage,26
https://www.hltv.org/stats/players/14148/sjuush?maps=de_dust2,0.46,0.65,44.2,0.87,1.02,71.6,15.8,91.5,1.07,0.25,0.09,0.12,18.1,18.5,0.12,19.3,0.37,0.1,0.13,19.5,17.8,111.0,0.27,0.08,0.09,17.2,48.2,64.5,2.49,0.48,0.02,11.3,75.8,1m 6s,8.2,0.03,0.02,3.7,1.7,0.004,0.003,0.5,2.84,0.59,0.67,0.04,2.37,sjuush,de_dust2,26
https://www.hltv.org/stats/players/14148/sjuush?maps=de_vertigo,0.73,0.71,47.4,0.96,1.12,77.6,17.6,99.0,1.12,0.49,0.09,0.14,21.4,27.2,0.14,20.7,0.24,0.09,0.12,17.1,19.9,109.0,0.52,0.1,0.11,20.5,48.3,77.9,2.92,0.57,0.02,10.3,52.9,1m 8s,8.6,0.02,0.02,2.5,1.6,0.003,0.002,0.69,5.27,1.18,0.68,0.03,1.98,sjuush,de_vertigo,26
https://www.hltv.org/stats/players/14148/sjuush?maps=de_ancient,0.52,0.65,44.8,0.89,1.06,73.6,16.1,93.5,1.03,0.65,0.12,0.14,21.3,30.1,0.17,22.6,0.29,0.1,0.12,18.6,22.0,113.0,0.32,0.08,0.08,16.8,50.2,71.2,2.84,0.58,0.02,10.8,65.7,1m 7s,8.3,0.0,0.01,0.8,0.4,0.0008,0.0004,0.76,4.51,0.85,0.93,0.08,2.42,sjuush,de_ancient,26
https://www.hltv.org/stats/players/14148/sjuush?maps=de_anubis,0.47,0.65,46.5,0.87,1.04,74.2,15.2,93.4,1.18,0.58,0.1,0.14,21.3,30.7,0.18,21.5,0.38,0.1,0.13,19.7,23.9,115.0,0.43,0.09,0.11,19.9,46.8,71.9,2.83,0.41,0.02,7.8,54.5,1m 10s,8.4,0.0,0.01,1.5,0.3,0.0,0.0,0.59,5.79,0.84,0.53,0.02,2.07,sjuush,de_anubis,26
https://www.hltv.org/stats/players/17306/degster?maps=de_train,0.89,0.79,51.0,1.1,1.16,79.1,20.5,108.1,1.17,0.04,0.07,0.09,14.6,10.6,0.09,14.3,0.58,0.1,0.17,21.6,16.6,101.0,0.63,0.11,0.07,18.7,60.5,75.7,1.85,0.64,0.02,14.2,52.9,1m 8s,10.5,0.94,0.43,54.3,34.8,0.12,0.08,0.28,1.99,0.62,0.43,0.03,2.66,degster,de_train,23
https://www.hltv.org/stats/players/17306/degster?maps=de_nuke,0.83,0.76,51.4,1.03,1.19,77.1,19.3,101.2,1.22,0.07,0.06,0.09,15.7,18.8,0.09,16.9,0.36,0.09,0.15,19.1,17.0,101.0,0.74,0.13,0.07,20.2,63.9,70.4,1.99,0.72,0.03,13.9,62.7,1m 8s,10.7,0.92,0.34,45.0,27.7,0.1,0.09,0.24,2.38,0.68,0.32,0.04,2.85,degster,de_nuke,23
https://www.hltv.org/stats/players/17306/degster?maps=de_inferno,0.7,0.72,48.4,1.0,1.14,73.6,18.0,98.2,1.21,0.21,0.09,0.11,18.0,20.8,0.09,19.5,0.57,0.11,0.16,21.6,17.4,102.0,0.76,0.13,0.08,21.0,62.0,71.3,2.06,0.74,0.03,13.2,52.6,1m 16s,13.2,0.91,0.33,44.8,24.4,0.08,0.09,0.64,4.39,1.29,0.59,0.06,2.6,degster,de_inferno,23
https://www.hltv.org/stats/players/17306/degster?maps=de_mirage,0.83,0.77,50.7,1.03,1.17,76.6,19.5,100.5,1.28,0.12,0.07,0.1,16.8,19.5,0.08,16.1,0.37,0.1,0.14,18.7,16.4,100.0,0.75,0.13,0.07,20.4,63.7,72.4,1.8,0.7,0.03,13.6,50.6,1m 6s,11.2,0.94,0.41,53.8,33.4,0.11,0.1,0.39,2.19,0.84,0.53,0.05,2.36,degster,de_mirage,23
https://www.hltv.org/stats/players/17306/degster?maps=de_dust2,0.91,0.79,51.1,1.02,1.26,81.1,20.4,102.0,1.34,0.09,0.07,0.1,16.8,15.0,0.12,18.6,0.32,0.1,0.14,17.4,17.0,103.0,0.88,0.15,0.09,23.4,62.7,75.9,1.84,0.61,0.02,12.1,61.5,1m 10s,11.7,0.95,0.48,60.2,35.8,0.12,0.12,0.57,3.06,0.94,0.67,0.07,2.51,degster,de_dust2,23
