full_url,player,country,age,team,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,saved_teammate_pr,trade_kills_pr,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,clutching,clutch_points_pr,last_alive_percentage,one_v_one_percentage,time_alive_pr,saved_per_round_loss,utility,utility_damage_pr,utility_kills_per100_r,flashes_thrown_pr,flash_assists_pr,timme_opponent_flashed_pr
https://www.hltv.org/stats/players/24118/w1ldg2,W1LDG2,United States,19 years,No team,91/100,1.13,0.73,86.4,100.9,51.2%,1.08,22.0%,67/100,0.22,0.15,0.0%,0.0%,0.32,19.5%,37/100,0.10,0.02,12.2%,80.0%,25.0%,3.34,0/100,0.00,0.0%,-,0.0,0.0,96/100,0.15,0.20,26.7%,46.7%,118,90/100,0.10,14.6%,0.0%,0m 58s,11.5%,48/100,4.22,2.44,0.44,0.02,3.41
https://www.hltv.org/stats/players/23885/w1nston,w1nstoN,Thailand,27 years,No team,54/100,0.98,0.66,71.1,99.1,43.6%,0.84,17.3%,63/100,0.09,0.17,20.0%,20.0%,0.20,18.4%,61/100,0.11,0.14,24.6%,43.2%,73.7%,2.79,2/100,0.02,2.5%,1.1%,0.006,0.006,93/100,0.16,0.20,29.7%,26.3%,108,84/100,0.06,11.2%,50.0%,0m 57s,4.7%,71/100,4.46,1.68,0.74,0.06,2.18
https://www.hltv.org/stats/players/14359/w1nt3r,w1nt3r,Kazakhstan,27 years,No team,43/100,1.00,0.64,72.0,90.3,44.7%,1.06,15.1%,34/100,0.10,0.12,24.0%,24.0%,0.13,19.3%,17/100,0.06,0.07,13.4%,48.6%,72.7%,2.64,2/100,0.01,2.2%,1.3%,0.002,0.002,43/100,0.10,0.13,21.0%,19.0%,112,63/100,0.02,13.7%,57.0%,1m 8s,6.4%,43/100,4.01,0.76,0.47,0.04,2.30
https://www.hltv.org/stats/players/24079/w1sely,w1sely,Russia,21 years,LEON,33/100,0.92,0.62,69.2,88.8,42.3%,1.11,14.5%,41/100,0.09,0.13,26.6%,26.6%,0.15,22.5%,15/100,0.06,0.06,12.3%,50.0%,68.8%,2.59,0/100,0.00,0.8%,0.4%,0.001,0.0,65/100,0.12,0.14,23.0%,28.1%,111,82/100,0.03,15.7%,50.0%,1m 11s,9.8%,35/100,4.27,1.06,0.38,0.02,2.03
https://www.hltv.org/stats/players/23206/w4rden,w4rden,Czech Republic,19 years,BRUTE,47/100,0.91,0.64,73.0,103.0,45.2%,1.03,15.7%,38/100,0.10,0.13,26.5%,26.5%,0.16,15.4%,18/100,0.07,0.09,15.7%,44.3%,70.4%,2.78,3/100,0.02,3.6%,1.8%,0.005,0.005,54/100,0.12,0.13,20.4%,27.2%,114,41/100,0.01,13.9%,37.5%,1m 4s,3.7%,29/100,2.99,0.26,0.44,0.03,2.17
https://www.hltv.org/stats/players/24311/wadeshot,Wadeshot,Latvia,21 years,No team,98/100,1.27,0.83,87.8,114.2,53.0%,1.26,22.7%,63/100,0.07,0.16,30.0%,30.0%,0.18,17.7%,57/100,0.12,0.06,17.1%,67.7%,61.9%,3.00,5/100,0.03,3.3%,1.7%,0.01,0.01,72/100,0.12,0.18,22.0%,26.7%,106,79/100,0.05,9.4%,100.0%,0m 57s,12.1%,8/100,1.60,0.0,0.27,0.006,2.17
https://www.hltv.org/stats/players/18802/wahtzz,Wahtzz,Estonia,23 years,Esprots,49/100,1.02,0.66,72.9,92.6,44.9%,1.13,15.6%,20/100,0.08,0.12,23.2%,23.2%,0.12,19.8%,29/100,0.08,0.08,16.7%,49.8%,69.6%,2.54,1/100,0.01,1.6%,0.9%,0.002,0.002,15/100,0.08,0.11,17.1%,18.0%,111,52/100,0.02,12.5%,50.9%,1m 5s,7.4%,27/100,3.45,0.46,0.38,0.02,2.23
https://www.hltv.org/stats/players/21097/wait,wait,Chile,19 years,No team,11/100,0.87,0.55,65.1,85.7,40.1%,0.91,11.5%,44/100,0.11,0.13,31.3%,31.3%,0.15,20.1%,20/100,0.08,0.09,17.0%,44.7%,62.5%,2.60,0/100,0.00,0.2%,0.1%,0.0,0.0,28/100,0.09,0.11,19.9%,22.5%,119,72/100,0.03,12.7%,38.5%,1m 3s,4.9%,35/100,4.56,0.66,0.37,0.02,1.91
https://www.hltv.org/stats/players/17929/walco,Walco,Canada,23 years,No team,49/100,1.01,0.65,72.6,95.1,44.4%,1.03,15.9%,45/100,0.10,0.14,23.5%,23.5%,0.14,17.7%,64/100,0.11,0.12,23.0%,47.6%,73.2%,2.73,1/100,0.01,1.6%,0.8%,0.002,0.002,30/100,0.09,0.12,19.1%,19.4%,111,45/100,0.02,9.2%,59.4%,1m 5s,4.8%,87/100,7.32,1.27,0.70,0.06,2.65
https://www.hltv.org/stats/players/23050/waldee,Waldee,Finland,22 years,No team,62/100,1.05,0.68,75.9,95.8,46.7%,1.13,16.5%,58/100,0.10,0.15,24.5%,24.5%,0.19,20.3%,51/100,0.10,0.09,19.7%,51.9%,68.8%,2.90,0/100,0.00,0.6%,0.3%,0.0,0.0,59/100,0.11,0.14,21.2%,26.6%,111,67/100,0.03,12.0%,69.6%,1m 5s,6.1%,48/100,3.86,0.40,0.58,0.03,1.96
https://www.hltv.org/stats/players/24518/wallen,walleN,Sweden,21 years,INFURITY,99/100,1.31,0.86,91.2,128.6,54.3%,1.24,21.2%,86/100,0.20,0.15,46.7%,46.7%,0.19,14.6%,87/100,0.16,0.10,25.8%,61.5%,58.3%,3.11,6/100,0.03,3.1%,2.0%,0.01,0.0,92/100,0.23,0.23,26.2%,26.2%,106,7/100,0.0,4.0%,0.0%,1m 6s,3.9%,57/100,9.28,1.32,0.46,0.007,1.23
https://www.hltv.org/stats/players/24294/wallz1k,wallz1k,Brazil,24 years,Vex Dragons,1/100,0.82,0.51,55.6,79.3,39.1%,1.09,8.0%,17/100,0.09,0.10,25.0%,25.0%,0.15,20.7%,82/100,0.15,0.14,28.7%,52.0%,46.2%,1.61,66/100,0.25,48.9%,23.0%,0.02,0.08,0/100,0.03,0.06,11.4%,15.9%,110,77/100,0.03,18.4%,50.0%,0m 57s,9.6%,46/100,1.49,0.0,0.69,0.06,2.14
https://www.hltv.org/stats/players/18928/wangj,WANGJ,China,26 years,GameAgents,48/100,1.00,0.67,70.7,96.9,46.6%,1.06,15.7%,32/100,0.10,0.13,23.3%,23.3%,0.12,15.3%,50/100,0.10,0.09,19.3%,51.7%,73.1%,1.98,85/100,0.26,39.1%,19.5%,0.07,0.06,38/100,0.09,0.14,20.4%,19.5%,106,44/100,0.02,11.8%,57.1%,1m 4s,5.4%,31/100,1.58,0.24,0.49,0.04,2.40
https://www.hltv.org/stats/players/24688/warbringer,warbringer,Romania,25 years,No team,11/100,0.90,0.57,66.1,76.5,45.2%,1.25,9.7%,53/100,0.13,0.14,12.5%,12.5%,0.23,24.2%,19/100,0.06,0.06,12.9%,50.0%,75.0%,2.54,0/100,0.00,0.0%,-,0.0,0.0,97/100,0.15,0.22,38.0%,32.4%,115,76/100,0.04,10.5%,100.0%,0m 58s,4.8%,56/100,4.26,0.0,0.65,0.02,2.42
https://www.hltv.org/stats/players/11889/warden,Warden,Latvia,27 years,No team,43/100,0.96,0.64,71.7,96.3,44.4%,0.81,15.1%,55/100,0.11,0.14,28.4%,28.4%,0.14,13.8%,40/100,0.09,0.10,19.7%,47.8%,63.2%,2.38,25/100,0.12,19.1%,8.6%,0.03,0.02,45/100,0.10,0.14,21.3%,20.7%,111,39/100,0.02,11.5%,71.4%,0m 57s,3.4%,54/100,5.00,2.05,0.48,0.04,2.15
https://www.hltv.org/stats/players/18731/wasink,wasiNk,France,29 years,3DMAX,31/100,0.95,0.61,70.4,93.9,42.4%,0.89,14.1%,54/100,0.11,0.14,26.7%,26.7%,0.14,17.9%,40/100,0.09,0.11,20.4%,44.7%,68.4%,2.76,5/100,0.03,4.9%,2.4%,0.007,0.005,36/100,0.10,0.12,20.4%,19.7%,116,41/100,0.02,10.8%,57.7%,1m 2s,7.4%,80/100,5.44,0.91,0.72,0.06,2.48
