full_url,firepower,kills_per_round,rounds_with_a_kill,kills_per_round_win,rating_1.0,damage_per_round,rounds_with_a_multi_kill,damage_per_round_win,pistol_round_rating,entrying,saved_by_teammate_per_round,traded_deaths_per_round,traded_deaths_percentage,opening_deaths_traded_percentage,assists_per_round,support_rounds,trading,saved_teammate_per_round,trade_kills_per_round,trade_kills_percentage,assisted_kills_percentage,damage_per_kill,opening,opening_kills_per_round,opening_deaths_per_round,opening_attempts,opening_success,win_after_opening_kill,attacks_per_round,clutching,clutch_points_per_round,last_alive_percentage,1on1_win_percentage,time_alive_per_round,saves_per_round_loss,sniping,sniper_kills_per_round,sniper_kills_percentage,rounds_with_sniper_kills_percentage,sniper_multi_kill_rounds,sniper_opening_kills_per_round,utility,utility_damage_per_round,utility_kills_per_100_rounds,flashes_thrown_per_round,flash_assists_per_round,time_opponent_flashed_per_round,player_name,map,age
https://www.hltv.org/stats/players/22921/lake?maps=all,0.9,0.76,49.1,1.09,1.17,84.6,19.5,113.6,1.15,0.79,0.12,0.16,22.8,26.4,0.22,16.4,0.4,0.11,0.13,17.4,24.2,112.0,0.84,0.14,0.14,28.5,49.5,72.4,3.25,0.47,0.02,7.2,60.8,1m 1s,4.9,0.0,0.01,0.9,0.7,0.002,0.0009,0.5,4.84,0.82,0.47,0.04,2.15,Lake,all,20
https://www.hltv.org/stats/players/9219/felps?maps=all,0.89,0.75,49.5,1.05,1.07,83.8,19.1,107.2,1.02,0.51,0.1,0.14,20.8,22.6,0.17,15.2,0.18,0.09,0.12,15.5,18.8,109.0,0.85,0.14,0.13,27.1,50.6,75.6,3.1,0.29,0.01,6.7,58.3,1m 2s,6.3,0.04,0.03,3.5,2.0,0.006,0.006,0.49,3.7,0.73,0.62,0.03,1.83,felps,all,28
https://www.hltv.org/stats/players/12822/vini?maps=all,0.48,0.65,44.3,0.89,1.04,72.8,15.7,91.9,1.04,0.57,0.1,0.14,22.0,27.7,0.15,20.6,0.26,0.09,0.12,18.6,20.5,112.0,0.42,0.09,0.1,19.1,48.3,74.4,2.82,0.44,0.02,7.9,63.6,1m 7s,5.8,0.0,0.01,1.3,0.7,0.002,0.0009,0.6,4.56,0.85,0.62,0.04,2.13,VINI,all,25
https://www.hltv.org/stats/players/19869/try?maps=all,0.81,0.76,50.2,1.0,1.19,76.7,18.9,98.4,1.13,0.25,0.09,0.11,18.9,21.5,0.11,18.3,0.48,0.1,0.15,19.9,19.6,101.0,0.71,0.12,0.07,19.7,62.3,74.2,1.98,0.66,0.03,12.0,60.0,1m 10s,10.9,0.93,0.4,52.5,30.3,0.11,0.1,0.67,3.61,0.81,0.79,0.09,2.59,try,all,20
https://www.hltv.org/stats/players/20183/decenty?maps=all,0.79,0.73,49.1,0.98,1.14,78.1,18.4,98.8,1.19,0.16,0.08,0.11,17.3,19.7,0.15,19.8,0.71,0.12,0.17,23.1,22.8,106.0,0.36,0.09,0.07,15.9,55.1,73.6,2.68,0.59,0.02,11.0,64.6,1m 7s,9.9,0.06,0.04,4.8,2.7,0.01,0.006,0.21,2.86,0.6,0.32,0.03,2.3,decenty,all,21
https://www.hltv.org/stats/players/22564/noway?maps=all,0.59,0.68,46.6,0.93,1.1,74.8,16.2,96.3,1.14,0.71,0.11,0.15,23.4,26.0,0.19,21.0,0.46,0.1,0.14,19.9,26.5,110.0,0.57,0.1,0.11,21.4,48.7,73.1,2.77,0.33,0.01,7.0,54.3,1m 6s,8.1,0.01,0.48,4.7,0.71,0.5,0.02,1.82,noway,all,19
https://www.hltv.org/stats/players/17803/fear?maps=all,0.38,0.63,44.2,0.85,1.04,71.4,14.7,90.9,0.92,0.71,0.12,0.15,22.7,29.3,0.19,22.1,0.48,0.1,0.13,21.1,26.8,113.0,0.39,0.09,0.1,18.8,47.9,72.2,2.88,0.52,0.02,10.3,62.8,1m 8s,10.1,0.0,0.01,0.9,0.6,0.0005,0.0005,0.76,6.44,1.31,0.61,0.05,2.25,fear,all,24
https://www.hltv.org/stats/players/23046/jambo?maps=all,0.8,0.74,49.4,1.01,1.19,77.8,18.5,101.4,1.13,0.29,0.09,0.12,18.5,23.9,0.16,19.3,0.42,0.1,0.14,18.9,24.7,105.0,0.86,0.14,0.1,24.1,59.5,72.0,2.13,0.73,0.03,12.2,54.7,1m 8s,9.2,0.89,0.3,40.4,23.0,0.08,0.08,0.51,3.26,0.81,0.58,0.06,2.44,jambo,all,20
https://www.hltv.org/stats/players/23413/s-chilla?maps=all,0.34,0.62,43.9,0.84,1.02,70.5,14.3,89.6,1.02,0.82,0.12,0.16,23.7,31.8,0.2,22.7,0.41,0.1,0.12,19.8,27.8,113.0,0.39,0.09,0.1,18.8,48.0,72.8,2.73,0.42,0.02,8.3,62.2,1m 6s,7.4,0.0,0.0,0.5,0.3,0.0005,0.0,0.31,4.36,0.86,0.32,0.02,2.05,s-chilla,all,19
https://www.hltv.org/stats/players/23414/jackasmo?maps=all,0.72,0.71,47.2,0.97,1.1,77.3,17.5,100.0,1.16,0.39,0.1,0.13,19.4,25.8,0.19,20.6,0.67,0.11,0.16,22.6,26.2,109.0,0.3,0.08,0.09,17.5,48.2,67.9,2.74,0.5,0.02,9.2,61.3,1m 5s,7.6,0.0,0.01,1.0,0.6,0.001,0.0003,0.69,5.46,0.84,0.61,0.04,2.23,jackasmo,all,17
https://www.hltv.org/stats/players/23415/zerrofix?maps=all,0.3,0.62,43.4,0.86,1.0,68.0,14.3,89.3,1.05,0.84,0.13,0.16,23.8,30.9,0.19,21.8,0.65,0.12,0.14,22.4,29.8,110.0,0.42,0.09,0.11,20.0,45.3,74.9,2.45,0.38,0.02,8.5,61.5,1m 5s,9.7,0.01,0.01,2.0,0.9,0.003,0.001,0.32,3.88,0.76,0.41,0.02,1.85,zeRRoFIX,all,18
https://www.hltv.org/stats/players/16147/cptkurtka023?maps=all,0.6,0.68,45.5,0.95,1.05,75.6,16.5,100.7,1.08,0.84,0.12,0.17,23.8,29.7,0.17,18.3,0.46,0.11,0.14,20.1,20.9,112.0,0.71,0.12,0.13,24.5,47.8,72.9,2.69,0.33,0.02,6.9,62.1,0m 59s,4.9,0.0,0.0,0.3,0.2,0.0002,0.0001,0.35,3.92,0.74,0.4,0.03,2.27,cptkurtka023,all,25
